TIME_1,RE_1,LE_1,TIME_2,RE_2,LE_2
2018-12-29 12:02:06.0000,0,0,2018-12-29 12:04:23.0000,0,0
2018-12-29 12:02:06.0006,0,-0.2,2018-12-29 12:04:23.0006,0.1,0.1
2018-12-29 12:02:06.0012,-0.2,-0.1,2018-12-29 12:04:23.0012,0.1,0.3
2018-12-29 12:02:06.0018,-0.2,-0.1,2018-12-29 12:04:23.0018,0.1,0.5
2018-12-29 12:02:06.0024,-0.1,0,2018-12-29 12:04:23.0024,0.2,0.6
2018-12-29 12:02:06.0030,0,-0.1,2018-12-29 12:04:23.0030,0.1,0.6
2018-12-29 12:02:06.0035,0,-0.1,2018-12-29 12:04:23.0035,0.3,0.7
2018-12-29 12:02:06.0041,-0.1,-0.2,2018-12-29 12:04:23.0041,0.4,0.7
2018-12-29 12:02:06.0047,0,-0.2,2018-12-29 12:04:23.0047,0.6,0.7
2018-12-29 12:02:06.0053,0,-0.2,2018-12-29 12:04:23.0053,0.7,0.5
2018-12-29 12:02:06.0059,0,-0.3,2018-12-29 12:04:23.0059,0.8,0.4
2018-12-29 12:02:06.0065,0,-0.3,2018-12-29 12:04:23.0065,0.8,0.2
2018-12-29 12:02:06.0071,0,-0.3,2018-12-29 12:04:23.0071,0.7,0
2018-12-29 12:02:06.0077,-0.1,-0.3,2018-12-29 12:04:23.0077,0.7,0
2018-12-29 12:02:06.0083,-0.1,-0.3,2018-12-29 12:04:23.0083,0.6,-0.1
2018-12-29 12:02:06.0089,-0.1,-0.2,2018-12-29 12:04:23.0089,0.3,0
2018-12-29 12:02:06.0094,-0.4,-0.1,2018-12-29 12:04:23.0094,0,0.1
2018-12-29 12:02:06.0100,-0.5,-0.2,2018-12-29 12:04:23.0100,-0.1,0
2018-12-29 12:02:06.0106,-0.5,-0.2,2018-12-29 12:04:23.0106,-0.4,0.1
2018-12-29 12:02:06.0112,-0.4,-0.3,2018-12-29 12:04:23.0112,-0.5,0.1
2018-12-29 12:02:06.0118,-0.3,-0.4,2018-12-29 12:04:23.0118,-0.5,0
2018-12-29 12:02:06.0124,-0.2,-0.4,2018-12-29 12:04:23.0124,-0.4,0
2018-12-29 12:02:06.0130,-0.1,-0.3,2018-12-29 12:04:23.0130,-0.4,0
2018-12-29 12:02:06.0136,0.1,-0.2,2018-12-29 12:04:23.0136,-0.4,-0.1
2018-12-29 12:02:06.0142,0.3,-0.1,2018-12-29 12:04:23.0142,-0.3,-0.1
2018-12-29 12:02:06.0148,0.4,-0.1,2018-12-29 12:04:23.0148,-0.4,-0.2
2018-12-29 12:02:06.0153,0.3,0,2018-12-29 12:04:23.0153,-0.3,-0.2
2018-12-29 12:02:06.0159,0.3,0,2018-12-29 12:04:23.0159,-0.3,-0.3
