TIME_1,RE_1,LE_1,TIME_2,RE_2,LE_2
2007-04-05 11:01:15.0000,0,0,2007-04-05 11:03:18.0000,0,0
2007-04-05 11:01:15.0006,0.1,-0.2,2007-04-05 11:03:18.0006,0,0
2007-04-05 11:01:15.0012,0,-0.4,2007-04-05 11:03:18.0012,-0.2,0
2007-04-05 11:01:15.0018,0.4,-0.2,2007-04-05 11:03:18.0018,-0.2,0
2007-04-05 11:01:15.0024,0.6,0,2007-04-05 11:03:18.0024,-0.2,0.2
2007-04-05 11:01:15.0030,0.9,0.1,2007-04-05 11:03:18.0030,0,0.5
2007-04-05 11:01:15.0035,1.3,0.3,2007-04-05 11:03:18.0035,0.1,0.8
2007-04-05 11:01:15.0041,1.5,0.4,2007-04-05 11:03:18.0041,0.2,1.4
2007-04-05 11:01:15.0047,1.8,0.6,2007-04-05 11:03:18.0047,0.2,1.6
2007-04-05 11:01:15.0053,2,0.6,2007-04-05 11:03:18.0053,0.3,2
2007-04-05 11:01:15.0059,2,0.7,2007-04-05 11:03:18.0059,0.3,2.1
2007-04-05 11:01:15.0065,2.1,0.8,2007-04-05 11:03:18.0065,0.5,2.1
2007-04-05 11:01:15.0071,1.9,0.7,2007-04-05 11:03:18.0071,0.7,2.2
2007-04-05 11:01:15.0077,1.7,0.6,2007-04-05 11:03:18.0077,0.9,2.2
2007-04-05 11:01:15.0083,1.5,0.5,2007-04-05 11:03:18.0083,0.9,2.3
2007-04-05 11:01:15.0089,1.1,0,2007-04-05 11:03:18.0089,0.7,2.2
2007-04-05 11:01:15.0094,0.4,-0.3,2007-04-05 11:03:18.0094,0.3,2.1
2007-04-05 11:01:15.0100,0,-0.6,2007-04-05 11:03:18.0100,0,2.3
2007-04-05 11:01:15.0106,-0.1,-0.8,2007-04-05 11:03:18.0106,-0.2,2.3
2007-04-05 11:01:15.0112,-0.2,-0.8,2007-04-05 11:03:18.0112,-0.4,2.3
2007-04-05 11:01:15.0118,-0.3,-0.9,2007-04-05 11:03:18.0118,-0.5,2.2
2007-04-05 11:01:15.0124,-0.3,-0.9,2007-04-05 11:03:18.0124,-0.7,2.1
2007-04-05 11:01:15.0130,-0.2,-1,2007-04-05 11:03:18.0130,-0.7,2.1
2007-04-05 11:01:15.0136,-0.1,-1,2007-04-05 11:03:18.0136,-0.6,1.9
2007-04-05 11:01:15.0142,0,-0.9,2007-04-05 11:03:18.0142,-0.6,1.5
2007-04-05 11:01:15.0148,0,-0.8,2007-04-05 11:03:18.0148,-0.5,1.3
2007-04-05 11:01:15.0153,0,-0.8,2007-04-05 11:03:18.0153,-0.5,1
2007-04-05 11:01:15.0159,0,-0.7,2007-04-05 11:03:18.0159,-0.5,0.7
2007-04-05 11:01:15.0165,-0.1,-0.5,2007-04-05 11:03:18.0165,-0.8,0.5
2007-04-05 11:01:15.0171,-0.3,-0.8,2007-04-05 11:03:18.0171,-1,0.2
2007-04-05 11:01:15.0177,-0.7,-0.9,2007-04-05 11:03:18.0177,-1.5,0
2007-04-05 11:01:15.0183,-0.8,-0.8,2007-04-05 11:03:18.0183,-1.7,0
2007-04-05 11:01:15.0189,-0.9,-0.6,2007-04-05 11:03:18.0189,-1.8,0
2007-04-05 11:01:15.0195,-0.8,-0.2,2007-04-05 11:03:18.0195,-1.8,0.1
2007-04-05 11:01:15.0201,-0.7,0,2007-04-05 11:03:18.0201,-1.7,0.4
2007-04-05 11:01:15.0207,-0.4,0.1,2007-04-05 11:03:18.0207,-1.6,0.7
2007-04-05 11:01:15.0212,-0.1,0.3,2007-04-05 11:03:18.0212,-1.4,0.9
2007-04-05 11:01:15.0218,0.1,0.5,2007-04-05 11:03:18.0218,-1.3,1.1
2007-04-05 11:01:15.0224,0.5,0.6,2007-04-05 11:03:18.0224,-1.1,1.3
2007-04-05 11:01:15.0230,0.6,0.5,2007-04-05 11:03:18.0230,-0.9,1.3
