TIME_1,RE_1,LE_1
2004-12-11 10:12:50.0000,0,0
2004-12-11 10:12:50.0006,-0.1,-0.1
2004-12-11 10:12:50.0012,-0.3,-0.2
2004-12-11 10:12:50.0018,-0.2,-0.3
2004-12-11 10:12:50.0024,-0.3,-0.3
2004-12-11 10:12:50.0030,-0.2,-0.2
2004-12-11 10:12:50.0035,-0.2,-0.3
2004-12-11 10:12:50.0041,-0.1,-0.2
2004-12-11 10:12:50.0047,-0.1,-0.2
2004-12-11 10:12:50.0053,-0.2,-0.3
2004-12-11 10:12:50.0059,-0.1,-0.4
2004-12-11 10:12:50.0065,-0.2,-0.3
2004-12-11 10:12:50.0071,-0.2,-0.4
2004-12-11 10:12:50.0077,-0.1,-0.4
2004-12-11 10:12:50.0083,-0.2,-0.3
2004-12-11 10:12:50.0089,-0.2,-0.2
2004-12-11 10:12:50.0094,-0.2,-0.3
2004-12-11 10:12:50.0100,-0.3,-0.2
2004-12-11 10:12:50.0106,-0.3,-0.1
2004-12-11 10:12:50.0112,-0.3,-0.1
2004-12-11 10:12:50.0118,-0.2,-0.1
2004-12-11 10:12:50.0124,-0.2,-0.2
2004-12-11 10:12:50.0130,-0.1,-0.2
2004-12-11 10:12:50.0136,0,-0.3
2004-12-11 10:12:50.0142,0,-0.3
2004-12-11 10:12:50.0148,0,-0.3
2004-12-11 10:12:50.0153,0,-0.2
2004-12-11 10:12:50.0159,0,-0.4
2004-12-11 10:12:50.0165,-0.1,-0.3
2004-12-11 10:12:50.0171,-0.2,-0.4
2004-12-11 10:12:50.0177,-0.5,-0.5
2004-12-11 10:12:50.0183,-0.6,-0.7
2004-12-11 10:12:50.0189,-0.8,-0.9
2004-12-11 10:12:50.0195,-0.8,-1
2004-12-11 10:12:50.0201,-0.8,-1.1
2004-12-11 10:12:50.0207,-0.9,-1.2
2004-12-11 10:12:50.0212,-0.8,-1.3
2004-12-11 10:12:50.0218,-0.8,-1.4
2004-12-11 10:12:50.0224,-0.9,-1.5
2004-12-11 10:12:50.0230,-0.9,-1.7
2004-12-11 10:12:50.0236,-1,-1.9
2004-12-11 10:12:50.0242,-1,-2
2004-12-11 10:12:50.0248,-1,-2
2004-12-11 10:12:50.0254,-1,-2.2
2004-12-11 10:12:50.0260,-1.1,-2.4
2004-12-11 10:12:50.0266,-1.3,-2.5
2004-12-11 10:12:50.0272,-1.2,-2.5
2004-12-11 10:12:50.0277,-1.3,-2.6
2004-12-11 10:12:50.0283,-1.3,-2.6
2004-12-11 10:12:50.0289,-1.2,-2.6
2004-12-11 10:12:50.0295,-1,-2.6
2004-12-11 10:12:50.0301,-0.9,-2.5
2004-12-11 10:12:50.0307,-0.8,-2.4
2004-12-11 10:12:50.0313,-0.6,-2.2
2004-12-11 10:12:50.0319,-0.6,-2.1
2004-12-11 10:12:50.0325,-0.5,-2
2004-12-11 10:12:50.0331,-0.4,-1.9
2004-12-11 10:12:50.0336,-0.3,-1.9
2004-12-11 10:12:50.0342,-0.4,-1.9
2004-12-11 10:12:50.0348,-0.2,-1.7
2004-12-11 10:12:50.0354,-0.1,-1.7
2004-12-11 10:12:50.0360,0,-1.5
2004-12-11 10:12:50.0366,0.1,-1.3
2004-12-11 10:12:50.0372,0.3,-1.1
2004-12-11 10:12:50.0378,0.5,-1
2004-12-11 10:12:50.0384,0.6,-0.8
2004-12-11 10:12:50.0390,0.7,-0.6
2004-12-11 10:12:50.0395,0.9,-0.6
2004-12-11 10:12:50.0401,1,-0.4
2004-12-11 10:12:50.0407,1.1,-0.3
2004-12-11 10:12:50.0413,1.3,-0.2
2004-12-11 10:12:50.0419,1.4,-0.2
2004-12-11 10:12:50.0425,1.3,0
2004-12-11 10:12:50.0431,1.4,0
2004-12-11 10:12:50.0437,1.5,0.1
2004-12-11 10:12:50.0443,1.8,0.3
2004-12-11 10:12:50.0449,1.9,0.5
2004-12-11 10:12:50.0455,2.1,0.6
2004-12-11 10:12:50.0460,2.1,0.8
2004-12-11 10:12:50.0466,2.3,1
2004-12-11 10:12:50.0472,2.4,1.2
2004-12-11 10:12:50.0478,2.5,1.3
2004-12-11 10:12:50.0484,2.7,1.5
2004-12-11 10:12:50.0490,2.9,1.7
2004-12-11 10:12:50.0496,3.1,1.9
2004-12-11 10:12:50.0502,3.3,2.1
2004-12-11 10:12:50.0508,3.3,2.1
2004-12-11 10:12:50.0514,3.4,2.3
2004-12-11 10:12:50.0519,3.5,2.5
2004-12-11 10:12:50.0525,3.7,2.5
2004-12-11 10:12:50.0531,3.7,2.7
2004-12-11 10:12:50.0537,3.9,2.7
2004-12-11 10:12:50.0543,4,2.7
2004-12-11 10:12:50.0549,4,2.7
2004-12-11 10:12:50.0555,4.1,2.7
2004-12-11 10:12:50.0561,4.1,2.7
2004-12-11 10:12:50.0567,4.1,2.5
2004-12-11 10:12:50.0573,4.1,2.4
2004-12-11 10:12:50.0578,4.1,2.4
2004-12-11 10:12:50.0584,4,2.1
2004-12-11 10:12:50.0590,3.8,2
2004-12-11 10:12:50.0596,3.7,1.8
2004-12-11 10:12:50.0602,3.5,1.5
2004-12-11 10:12:50.0608,3.3,1.2
2004-12-11 10:12:50.0614,3.1,0.9
2004-12-11 10:12:50.0620,2.9,0.7
2004-12-11 10:12:50.0626,2.8,0.6
2004-12-11 10:12:50.0632,2.5,0.3
2004-12-11 10:12:50.0637,2.3,0.1
2004-12-11 10:12:50.0643,2.1,0
2004-12-11 10:12:50.0649,2,0
2004-12-11 10:12:50.0655,1.9,-0.2
2004-12-11 10:12:50.0661,2,-0.3
