TIME_1,RE_1,LE_1
2003-07-04 11:34:33.0000,0,0
2003-07-04 11:34:33.0006,0,-0.1
2003-07-04 11:34:33.0012,0,-0.1
2003-07-04 11:34:33.0018,0,-0.2
2003-07-04 11:34:33.0024,0,-0.2
2003-07-04 11:34:33.0030,0,-0.3
2003-07-04 11:34:33.0035,0,-0.3
2003-07-04 11:34:33.0041,0,-0.4
2003-07-04 11:34:33.0047,-0.1,-0.4
2003-07-04 11:34:33.0053,0,-0.4
2003-07-04 11:34:33.0059,-0.1,-0.4
2003-07-04 11:34:33.0065,0,-0.4
2003-07-04 11:34:33.0071,0,-0.2
2003-07-04 11:34:33.0077,0.1,-0.3
2003-07-04 11:34:33.0083,0.2,-0.2
2003-07-04 11:34:33.0089,0.3,-0.2
2003-07-04 11:34:33.0094,0.3,-0.3
2003-07-04 11:34:33.0100,0.3,-0.4
2003-07-04 11:34:33.0106,0.4,-0.5
2003-07-04 11:34:33.0112,0.3,-0.6
2003-07-04 11:34:33.0118,0.4,-0.7
2003-07-04 11:34:33.0124,0.4,-0.7
2003-07-04 11:34:33.0130,0.4,-0.7
2003-07-04 11:34:33.0136,0.5,-0.7
2003-07-04 11:34:33.0142,0.6,-0.7
2003-07-04 11:34:33.0148,0.6,-0.7
2003-07-04 11:34:33.0153,0.6,-0.8
2003-07-04 11:34:33.0159,0.6,-0.8
2003-07-04 11:34:33.0165,0.5,-0.9
2003-07-04 11:34:33.0171,0.4,-0.9
2003-07-04 11:34:33.0177,0.3,-1
2003-07-04 11:34:33.0183,0.2,-1.2
2003-07-04 11:34:33.0189,0.1,-1.2
2003-07-04 11:34:33.0195,0,-1.2
2003-07-04 11:34:33.0201,0,-1.3
2003-07-04 11:34:33.0207,0,-1.4
2003-07-04 11:34:33.0212,0,-1.6
2003-07-04 11:34:33.0218,0,-1.7
2003-07-04 11:34:33.0224,-0.1,-1.8
2003-07-04 11:34:33.0230,-0.2,-2
2003-07-04 11:34:33.0236,-0.3,-2
2003-07-04 11:34:33.0242,-0.4,-2.1
2003-07-04 11:34:33.0248,-0.6,-2.1
2003-07-04 11:34:33.0254,-0.7,-2.1
2003-07-04 11:34:33.0260,-0.8,-2
2003-07-04 11:34:33.0266,-0.8,-1.9
2003-07-04 11:34:33.0272,-0.8,-1.8
2003-07-04 11:34:33.0277,-0.7,-1.6
2003-07-04 11:34:33.0283,-0.7,-1.5
2003-07-04 11:34:33.0289,-0.4,-1.3
2003-07-04 11:34:33.0295,-0.2,-1.2
2003-07-04 11:34:33.0301,0,-1.1
2003-07-04 11:34:33.0307,0.1,-1
2003-07-04 11:34:33.0313,0.4,-0.8
2003-07-04 11:34:33.0319,0.6,-0.6
2003-07-04 11:34:33.0325,0.9,-0.4
2003-07-04 11:34:33.0331,1.1,-0.2
2003-07-04 11:34:33.0336,1.4,0
2003-07-04 11:34:33.0342,1.8,0
2003-07-04 11:34:33.0348,2.1,0.4
2003-07-04 11:34:33.0354,2.3,0.7
2003-07-04 11:34:33.0360,2.7,1.1
2003-07-04 11:34:33.0366,3.1,1.5
2003-07-04 11:34:33.0372,3.4,1.9
2003-07-04 11:34:33.0378,3.7,2.3
2003-07-04 11:34:33.0384,4,2.6
2003-07-04 11:34:33.0390,4.2,2.9
2003-07-04 11:34:33.0395,4.6,3.2
2003-07-04 11:34:33.0401,4.9,3.6
2003-07-04 11:34:33.0407,5.1,3.9
2003-07-04 11:34:33.0413,5.4,4.2
2003-07-04 11:34:33.0419,5.8,4.5
2003-07-04 11:34:33.0425,6.1,4.6
2003-07-04 11:34:33.0431,6.2,4.9
2003-07-04 11:34:33.0437,6.4,5.1
2003-07-04 11:34:33.0443,6.6,5.3
2003-07-04 11:34:33.0449,6.9,5.4
2003-07-04 11:34:33.0455,7,5.5
2003-07-04 11:34:33.0460,7.2,5.6
2003-07-04 11:34:33.0466,7.2,5.8
2003-07-04 11:34:33.0472,7.3,5.9
2003-07-04 11:34:33.0478,7.4,5.9
