TIME_1,RE_1,LE_1,TIME_2,RE_2,LE_2
2015-03-20 14:04:14.0000,0,0,2015-03-20 14:12:46.0000,0,0
2015-03-20 14:04:14.0006,-0.2,-0.3,2015-03-20 14:12:46.0006,-0.2,-0.1
2015-03-20 14:04:14.0012,-0.7,-0.2,2015-03-20 14:12:46.0012,-0.5,-0.1
2015-03-20 14:04:14.0018,-1,0,2015-03-20 14:12:46.0018,-0.7,0
2015-03-20 14:04:14.0024,-1.1,0.3,2015-03-20 14:12:46.0024,-0.9,0.1
2015-03-20 14:04:14.0030,-1.2,0.6,2015-03-20 14:12:46.0030,-1,0.3
2015-03-20 14:04:14.0035,-1.3,0.6,2015-03-20 14:12:46.0035,-1.2,0.3
2015-03-20 14:04:14.0041,-1.3,0.7,2015-03-20 14:12:46.0041,-1.6,0.3
2015-03-20 14:04:14.0047,-1.3,0.9,2015-03-20 14:12:46.0047,-1.8,0.3
2015-03-20 14:04:14.0053,-1,1.1,2015-03-20 14:12:46.0053,-1.8,0.4
2015-03-20 14:04:14.0059,-0.5,1.2,2015-03-20 14:12:46.0059,-1.8,0.4
2015-03-20 14:04:14.0065,-0.3,1.3,2015-03-20 14:12:46.0065,-2,0.5
2015-03-20 14:04:14.0071,-0.2,1.3,2015-03-20 14:12:46.0071,-1.9,0.5
2015-03-20 14:04:14.0077,0,1.4,2015-03-20 14:12:46.0077,-1.9,0.6
2015-03-20 14:04:14.0083,0.4,1.5,2015-03-20 14:12:46.0083,-1.7,0.7
2015-03-20 14:04:14.0089,0.7,1.6,2015-03-20 14:12:46.0089,-1.6,0.7
2015-03-20 14:04:14.0094,0.7,1.7,2015-03-20 14:12:46.0094,-1.6,0.7
2015-03-20 14:04:14.0100,0.7,1.7,2015-03-20 14:12:46.0100,-1.6,0.8
2015-03-20 14:04:14.0106,0.8,2,2015-03-20 14:12:46.0106,-1.4,1.1
2015-03-20 14:04:14.0112,1.1,2.2,2015-03-20 14:12:46.0112,-1.2,1.5
2015-03-20 14:04:14.0118,1.3,2.5,2015-03-20 14:12:46.0118,-0.9,1.5
2015-03-20 14:04:14.0124,1.6,2.7,2015-03-20 14:12:46.0124,-0.6,1.6
2015-03-20 14:04:14.0130,2,3,2015-03-20 14:12:46.0130,-0.2,1.7
2015-03-20 14:04:14.0136,2.3,3.2,2015-03-20 14:12:46.0136,0.2,2
2015-03-20 14:04:14.0142,2.7,3.5,2015-03-20 14:12:46.0142,0.8,2.1
2015-03-20 14:04:14.0148,3,3.6,2015-03-20 14:12:46.0148,1.1,2.3
2015-03-20 14:04:14.0153,3.1,3.5,2015-03-20 14:12:46.0153,1.3,2.5
2015-03-20 14:04:14.0159,2.9,3.6,2015-03-20 14:12:46.0159,1.6,2.6
2015-03-20 14:04:14.0165,2.8,3.6,2015-03-20 14:12:46.0165,2,2.7
2015-03-20 14:04:14.0171,2.7,3.6,2015-03-20 14:12:46.0171,2.2,2.6
2015-03-20 14:04:14.0177,2.3,3.4,2015-03-20 14:12:46.0177,2.1,2.7
2015-03-20 14:04:14.0183,2.1,3.3,2015-03-20 14:12:46.0183,2.1,2.8
2015-03-20 14:04:14.0189,1.9,3.3,2015-03-20 14:12:46.0189,2.1,2.9
2015-03-20 14:04:14.0195,1.8,3.5,2015-03-20 14:12:46.0195,2.1,3
2015-03-20 14:04:14.0201,1.7,3.6,2015-03-20 14:12:46.0201,2,3.1
2015-03-20 14:04:14.0207,1.8,3.6,2015-03-20 14:12:46.0207,1.9,3.1
2015-03-20 14:04:14.0212,1.6,3.5,2015-03-20 14:12:46.0212,1.7,3.2
2015-03-20 14:04:14.0218,1.5,3.5,2015-03-20 14:12:46.0218,1.6,3.3
2015-03-20 14:04:14.0224,1.2,3.3,2015-03-20 14:12:46.0224,1.5,3.4
2015-03-20 14:04:14.0230,1,3.4,2015-03-20 14:12:46.0230,1.3,3.4
2015-03-20 14:04:14.0236,0.7,3.3,2015-03-20 14:12:46.0236,1,3.3
2015-03-20 14:04:14.0242,0.4,3.3,2015-03-20 14:12:46.0242,0.7,3.2
2015-03-20 14:04:14.0248,0.2,3.4,2015-03-20 14:12:46.0248,0.5,3.3
2015-03-20 14:04:14.0254,0.1,3.4,2015-03-20 14:12:46.0254,0.2,3.1
2015-03-20 14:04:14.0260,0.1,3.4,2015-03-20 14:12:46.0260,-0.2,2.9
2015-03-20 14:04:14.0266,0.1,3.5,2015-03-20 14:12:46.0266,-0.5,2.9
2015-03-20 14:04:14.0272,0.1,3.6,2015-03-20 14:12:46.0272,-0.8,2.8
2015-03-20 14:04:14.0277,0.3,3.7,2015-03-20 14:12:46.0277,-1,2.8
2015-03-20 14:04:14.0283,0.7,4.1,2015-03-20 14:12:46.0283,-1.1,3
2015-03-20 14:04:14.0289,1.2,4.3,2015-03-20 14:12:46.0289,-0.9,3.1
2015-03-20 14:04:14.0295,1.6,4.2,2015-03-20 14:12:46.0295,-0.6,3.3
2015-03-20 14:04:14.0301,1.9,4.2,2015-03-20 14:12:46.0301,-0.1,3.6
2015-03-20 14:04:14.0307,2.1,4.2,2015-03-20 14:12:46.0307,0.2,3.9
2015-03-20 14:04:14.0313,2.3,4.4,2015-03-20 14:12:46.0313,0.8,4.2
2015-03-20 14:04:14.0319,2.7,4.5,2015-03-20 14:12:46.0319,1.2,4.5
2015-03-20 14:04:14.0325,2.9,4.7,2015-03-20 14:12:46.0325,1.7,4.8
2015-03-20 14:04:14.0331,3.2,4.8,2015-03-20 14:12:46.0331,2,5.2
2015-03-20 14:04:14.0336,3.5,4.9,2015-03-20 14:12:46.0336,2.5,5.5
2015-03-20 14:04:14.0342,3.7,5,2015-03-20 14:12:46.0342,2.7,5.5
2015-03-20 14:04:14.0348,3.7,5.2,2015-03-20 14:12:46.0348,3,5.6
2015-03-20 14:04:14.0354,3.9,5.3,2015-03-20 14:12:46.0354,3.3,5.7
2015-03-20 14:04:14.0360,4,5.5,2015-03-20 14:12:46.0360,3.5,5.8
2015-03-20 14:04:14.0366,4.2,5.9,2015-03-20 14:12:46.0366,3.8,6.1
2015-03-20 14:04:14.0372,4.6,6.3,2015-03-20 14:12:46.0372,4.1,6.5
2015-03-20 14:04:14.0378,4.9,6.3,2015-03-20 14:12:46.0378,4.4,6.8
2015-03-20 14:04:14.0384,4.9,6.4,2015-03-20 14:12:46.0384,4.7,7.1
2015-03-20 14:04:14.0390,4.8,6.4,2015-03-20 14:12:46.0390,5,7.4
2015-03-20 14:04:14.0395,4.8,6.7,2015-03-20 14:12:46.0395,5.2,7.7
2015-03-20 14:04:14.0401,5,6.8,2015-03-20 14:12:46.0401,5.2,7.9
2015-03-20 14:04:14.0407,4.9,7,2015-03-20 14:12:46.0407,5.5,8
2015-03-20 14:04:14.0413,4.7,7,2015-03-20 14:12:46.0413,5.6,8.1
2015-03-20 14:04:14.0419,4.5,6.9,2015-03-20 14:12:46.0419,5.7,8.1
2015-03-20 14:04:14.0425,4.2,6.8,2015-03-20 14:12:46.0425,5.5,7.9
2015-03-20 14:04:14.0431,4.1,6.9,2015-03-20 14:12:46.0431,5.2,8.1
2015-03-20 14:04:14.0437,4,7,2015-03-20 14:12:46.0437,4.9,8.1
2015-03-20 14:04:14.0443,3.9,7.1,2015-03-20 14:12:46.0443,4.7,8.3
2015-03-20 14:04:14.0449,3.9,7.4,2015-03-20 14:12:46.0449,4.7,8.6
2015-03-20 14:04:14.0455,4.1,7.8,2015-03-20 14:12:46.0455,4.7,8.9
2015-03-20 14:04:14.0460,4.4,8,2015-03-20 14:12:46.0460,4.7,9.2
2015-03-20 14:04:14.0466,4.6,8.3,2015-03-20 14:12:46.0466,4.7,9.5
2015-03-20 14:04:14.0472,4.6,8.6,2015-03-20 14:12:46.0472,4.7,9.7
2015-03-20 14:04:14.0478,4.8,8.8,2015-03-20 14:12:46.0478,4.6,9.9
2015-03-20 14:04:14.0484,5.2,9.1,2015-03-20 14:12:46.0484,4.9,10.1
2015-03-20 14:04:14.0490,5.7,9.2,2015-03-20 14:12:46.0490,5.2,10.4
2015-03-20 14:04:14.0496,6.1,9.4,2015-03-20 14:12:46.0496,5.5,10.6
2015-03-20 14:04:14.0502,6.3,9.3,2015-03-20 14:12:46.0502,5.8,10.9
2015-03-20 14:04:14.0508,6.3,9.2,2015-03-20 14:12:46.0508,5.9,10.8
2015-03-20 14:04:14.0514,6.4,9.3,2015-03-20 14:12:46.0514,6.2,11
2015-03-20 14:04:14.0519,6.7,9.4,2015-03-20 14:12:46.0519,6.3,11
2015-03-20 14:04:14.0525,6.9,9.5,2015-03-20 14:12:46.0525,6.7,11.3
2015-03-20 14:04:14.0531,7.3,9.6,2015-03-20 14:12:46.0531,7.3,11.6
2015-03-20 14:04:14.0537,7.7,9.9,2015-03-20 14:12:46.0537,7.9,11.9
2015-03-20 14:04:14.0543,8,10.1,2015-03-20 14:12:46.0543,8.5,12
2015-03-20 14:04:14.0549,8.3,10.3,2015-03-20 14:12:46.0549,9,12.2
2015-03-20 14:04:14.0555,8.3,10.2,2015-03-20 14:12:46.0555,9.2,12.3
2015-03-20 14:04:14.0561,8.3,10.2,2015-03-20 14:12:46.0561,9.5,12.4
2015-03-20 14:04:14.0567,8.3,10.4,2015-03-20 14:12:46.0567,9.6,12.7
2015-03-20 14:04:14.0573,8.5,10.3,2015-03-20 14:12:46.0573,9.7,12.7
2015-03-20 14:04:14.0578,8.5,10.2,2015-03-20 14:12:46.0578,9.8,12.7
2015-03-20 14:04:14.0584,8.3,10,2015-03-20 14:12:46.0584,9.8,12.6
2015-03-20 14:04:14.0590,7.8,9.7,2015-03-20 14:12:46.0590,9.5,12.2
2015-03-20 14:04:14.0596,7.3,9.7,2015-03-20 14:12:46.0596,9.2,12.2
2015-03-20 14:04:14.0602,7.1,9.9,2015-03-20 14:12:46.0602,9,12.1
2015-03-20 14:04:14.0608,6.8,9.9,2015-03-20 14:12:46.0608,8.9,12.1
2015-03-20 14:04:14.0614,6.4,10,2015-03-20 14:12:46.0614,8.7,12.1
2015-03-20 14:04:14.0620,6.1,10,2015-03-20 14:12:46.0620,8.6,12
2015-03-20 14:04:14.0626,5.8,10,2015-03-20 14:12:46.0626,8.4,12
2015-03-20 14:04:14.0632,5.4,9.9,2015-03-20 14:12:46.0632,8.3,12
