TIME_1,RE_1,LE_1,TIME_2,RE_2,LE_2,TIME_3,RE_3,LE_3,TIME_4,RE_4,LE_4
2017-03-22 10:57:37.0000,0,0,2017-03-22 10:59:11.0000,0,0,2017-03-22 11:02:14.0000,0,0,2017-03-22 11:06:39.0000,0,0
2017-03-22 10:57:37.0006,-0.1,0.4,2017-03-22 10:59:11.0006,0,0,2017-03-22 11:02:14.0006,0,0.1,2017-03-22 11:06:39.0006,-0.1,0
2017-03-22 10:57:37.0012,-0.4,0.3,2017-03-22 10:59:11.0012,-0.5,0,2017-03-22 11:02:14.0012,-0.2,0,2017-03-22 11:06:39.0012,-0.5,-0.2
2017-03-22 10:57:37.0018,-0.5,0.3,2017-03-22 10:59:11.0018,-0.8,-0.1,2017-03-22 11:02:14.0018,-0.3,0,2017-03-22 11:06:39.0018,-0.7,-0.2
2017-03-22 10:57:37.0024,-0.5,0.4,2017-03-22 10:59:11.0024,-0.9,0.2,2017-03-22 11:02:14.0024,-0.3,0,2017-03-22 11:06:39.0024,-0.8,-0.2
2017-03-22 10:57:37.0030,-0.2,0.4,2017-03-22 10:59:11.0030,-0.9,0.4,2017-03-22 11:02:14.0030,-0.2,0.1,2017-03-22 11:06:39.0030,-0.7,-0.1
2017-03-22 10:57:37.0035,0,0.5,2017-03-22 10:59:11.0035,-0.7,0.5,2017-03-22 11:02:14.0035,0,0.2,2017-03-22 11:06:39.0035,-0.6,0
2017-03-22 10:57:37.0041,0.1,0.6,2017-03-22 10:59:11.0041,-0.5,0.8,2017-03-22 11:02:14.0041,0.1,0.2,2017-03-22 11:06:39.0041,-0.4,0
2017-03-22 10:57:37.0047,0.2,0.6,2017-03-22 10:59:11.0047,-0.3,0.7,2017-03-22 11:02:14.0047,0.3,0.3,2017-03-22 11:06:39.0047,-0.2,0.1
2017-03-22 10:57:37.0053,0,0.5,2017-03-22 10:59:11.0053,-0.1,0.6,2017-03-22 11:02:14.0053,0.4,0.4,2017-03-22 11:06:39.0053,0,0.2
2017-03-22 10:57:37.0059,0,0.3,2017-03-22 10:59:11.0059,0,0.6,2017-03-22 11:02:14.0059,0.7,0.4,2017-03-22 11:06:39.0059,0.2,0.4
