TIME_1,RE_1,LE_1,TIME_2,RE_2,LE_2
2015-01-02 13:18:13.0000,0,0,2015-01-02 13:22:24.0000,0,0
2015-01-02 13:18:13.0006,0.2,-0.6,2015-01-02 13:22:24.0006,0,-0.6
2015-01-02 13:18:13.0012,0.2,-0.2,2015-01-02 13:22:24.0012,-0.3,-0.7
2015-01-02 13:18:13.0018,0.3,0.1,2015-01-02 13:22:24.0018,-0.7,-0.6
2015-01-02 13:18:13.0024,0.6,0.7,2015-01-02 13:22:24.0024,-1.1,-0.5
2015-01-02 13:18:13.0030,1,1.1,2015-01-02 13:22:24.0030,-1.4,-0.2
2015-01-02 13:18:13.0035,1.4,1.7,2015-01-02 13:22:24.0035,-1.3,0
2015-01-02 13:18:13.0041,2,2,2015-01-02 13:22:24.0041,-1.2,0
2015-01-02 13:18:13.0047,2.3,2.3,2015-01-02 13:22:24.0047,-1,0.2
2015-01-02 13:18:13.0053,2.6,2.4,2015-01-02 13:22:24.0053,-0.6,0.2
2015-01-02 13:18:13.0059,2.7,2.4,2015-01-02 13:22:24.0059,-0.2,0.2
2015-01-02 13:18:13.0065,2.7,2.4,2015-01-02 13:22:24.0065,0.1,0.2
2015-01-02 13:18:13.0071,2.6,2.3,2015-01-02 13:22:24.0071,0.4,0.1
2015-01-02 13:18:13.0077,2.5,2.3,2015-01-02 13:22:24.0077,0.4,0
2015-01-02 13:18:13.0083,2.4,2.1,2015-01-02 13:22:24.0083,0.2,0
2015-01-02 13:18:13.0089,2,1.9,2015-01-02 13:22:24.0089,0,0
2015-01-02 13:18:13.0094,1.4,1.6,2015-01-02 13:22:24.0094,-0.3,0.1
2015-01-02 13:18:13.0100,0.8,1.3,2015-01-02 13:22:24.0100,-0.1,0.2
2015-01-02 13:18:13.0106,0.5,1.1,2015-01-02 13:22:24.0106,0,0.4
2015-01-02 13:18:13.0112,0.3,0.9,2015-01-02 13:22:24.0112,0,0.4
2015-01-02 13:18:13.0118,0.2,0.8,2015-01-02 13:22:24.0118,0,0.4
2015-01-02 13:18:13.0124,0.3,0.6,2015-01-02 13:22:24.0124,0,0.3
2015-01-02 13:18:13.0130,0.4,0.3,2015-01-02 13:22:24.0130,-0.2,0.2
2015-01-02 13:18:13.0136,0.4,0.2,2015-01-02 13:22:24.0136,-0.2,0.1
2015-01-02 13:18:13.0142,0.2,0.1,2015-01-02 13:22:24.0142,-0.2,0
2015-01-02 13:18:13.0148,0.2,0,2015-01-02 13:22:24.0148,-0.1,0
2015-01-02 13:18:13.0153,0.1,-0.2,2015-01-02 13:22:24.0153,-0.2,0.2
2015-01-02 13:18:13.0159,0.1,-0.3,2015-01-02 13:22:24.0159,-0.3,0.4
2015-01-02 13:18:13.0165,0.1,-0.4,2015-01-02 13:22:24.0165,-0.5,0.7
2015-01-02 13:18:13.0171,0,-0.4,2015-01-02 13:22:24.0171,-0.6,1
2015-01-02 13:18:13.0177,-0.1,-0.5,2015-01-02 13:22:24.0177,-0.9,1
2015-01-02 13:18:13.0183,-0.3,-0.3,2015-01-02 13:22:24.0183,-0.9,0.9
2015-01-02 13:18:13.0189,-0.3,0,2015-01-02 13:22:24.0189,-1,0.8
2015-01-02 13:18:13.0195,0,0.4,2015-01-02 13:22:24.0195,-1,0.6
2015-01-02 13:18:13.0201,0.8,0.8,2015-01-02 13:22:24.0201,-1.3,0.5
2015-01-02 13:18:13.0207,1.3,1.2,2015-01-02 13:22:24.0207,-1.5,0.5
2015-01-02 13:18:13.0212,1.7,1.5,2015-01-02 13:22:24.0212,-1.5,0.6
2015-01-02 13:18:13.0218,1.9,2,2015-01-02 13:22:24.0218,-1.6,0.5
2015-01-02 13:18:13.0224,2,2.2,2015-01-02 13:22:24.0224,-1.4,0.5
2015-01-02 13:18:13.0230,2,2.4,2015-01-02 13:22:24.0230,-1.6,0.4
2015-01-02 13:18:13.0236,1.9,2.6,2015-01-02 13:22:24.0236,-2,0.4
2015-01-02 13:18:13.0242,1.9,2.8,2015-01-02 13:22:24.0242,-2.2,0.6
2015-01-02 13:18:13.0248,1.9,2.8,2015-01-02 13:22:24.0248,-2.5,0.9
2015-01-02 13:18:13.0254,1.7,2.7,2015-01-02 13:22:24.0254,-2.6,1.3
2015-01-02 13:18:13.0260,1.4,2.7,2015-01-02 13:22:24.0260,-2.7,1.6
2015-01-02 13:18:13.0266,1.1,2.6,2015-01-02 13:22:24.0266,-2.7,2
2015-01-02 13:18:13.0272,0.9,2.5,2015-01-02 13:22:24.0272,-2.8,2.1
2015-01-02 13:18:13.0277,0.8,2.3,2015-01-02 13:22:24.0277,-2.8,2
2015-01-02 13:18:13.0283,1.1,2.1,2015-01-02 13:22:24.0283,-3,2
2015-01-02 13:18:13.0289,1.2,2.1,2015-01-02 13:22:24.0289,-3.1,2
2015-01-02 13:18:13.0295,1.3,1.9,2015-01-02 13:22:24.0295,-2.9,2
2015-01-02 13:18:13.0301,1.3,1.8,2015-01-02 13:22:24.0301,-2.7,2.1
2015-01-02 13:18:13.0307,1.1,1.8,2015-01-02 13:22:24.0307,-2.4,2.2
2015-01-02 13:18:13.0313,1,1.7,2015-01-02 13:22:24.0313,-2.1,2.2
2015-01-02 13:18:13.0319,0.7,1.6,2015-01-02 13:22:24.0319,-1.8,2.2
2015-01-02 13:18:13.0325,0.4,1.5,2015-01-02 13:22:24.0325,-1.3,2.1
2015-01-02 13:18:13.0331,0,1.2,2015-01-02 13:22:24.0331,-1,2.1
2015-01-02 13:18:13.0336,-0.5,0.9,2015-01-02 13:22:24.0336,-0.9,2.1
2015-01-02 13:18:13.0342,-0.9,0.6,2015-01-02 13:22:24.0342,-1.5,2.3
2015-01-02 13:18:13.0348,-1.1,0.5,2015-01-02 13:22:24.0348,-2,2.5
2015-01-02 13:18:13.0354,-1,0.5,2015-01-02 13:22:24.0354,-2.3,2.7
2015-01-02 13:18:13.0360,-0.7,0.7,2015-01-02 13:22:24.0360,-2.6,2.5
2015-01-02 13:18:13.0366,-0.3,0.9,2015-01-02 13:22:24.0366,-2.6,2.5
2015-01-02 13:18:13.0372,0,1.3,2015-01-02 13:22:24.0372,-2.6,2.4
2015-01-02 13:18:13.0378,0.3,1.6,2015-01-02 13:22:24.0378,-2.4,2.5
2015-01-02 13:18:13.0384,0.6,1.9,2015-01-02 13:22:24.0384,-2.2,2.6
