TIME_1,RE_1,LE_1,TIME_2,RE_2,LE_2,TIME_3,RE_3,LE_3
2015-09-09 10:48:05.0000,0,0,2015-09-09 10:54:01.0000,0,0,2015-09-09 10:56:45.0000,0,0
2015-09-09 10:48:05.0006,-0.1,0.6,2015-09-09 10:54:01.0006,-0.1,0.1,2015-09-09 10:56:45.0006,-0.2,-0.5
2015-09-09 10:48:05.0012,-0.3,0.5,2015-09-09 10:54:01.0012,-0.3,0,2015-09-09 10:56:45.0012,-0.3,-0.4
2015-09-09 10:48:05.0018,-0.3,0.6,2015-09-09 10:54:01.0018,-0.3,0,2015-09-09 10:56:45.0018,-0.2,-0.4
2015-09-09 10:48:05.0024,-0.2,0.6,2015-09-09 10:54:01.0024,-0.2,0,2015-09-09 10:56:45.0024,0,-0.3
2015-09-09 10:48:05.0030,-0.1,0.7,2015-09-09 10:54:01.0030,-0.1,0,2015-09-09 10:56:45.0030,-0.1,-0.3
2015-09-09 10:48:05.0035,0,0.8,2015-09-09 10:54:01.0035,-0.1,0,2015-09-09 10:56:45.0035,-0.1,-0.4
2015-09-09 10:48:05.0041,0.1,1,2015-09-09 10:54:01.0041,0,-0.1,2015-09-09 10:56:45.0041,0,-0.2
2015-09-09 10:48:05.0047,0.3,1.1,2015-09-09 10:54:01.0047,0,-0.1,2015-09-09 10:56:45.0047,0,-0.2
2015-09-09 10:48:05.0053,0.4,1.2,2015-09-09 10:54:01.0053,0,-0.1,2015-09-09 10:56:45.0053,0,-0.3
2015-09-09 10:48:05.0059,0.3,1.2,2015-09-09 10:54:01.0059,0,0,2015-09-09 10:56:45.0059,-0.1,-0.3
2015-09-09 10:48:05.0065,0.2,1.2,2015-09-09 10:54:01.0065,0,-0.1,2015-09-09 10:56:45.0065,-0.1,-0.2
2015-09-09 10:48:05.0071,0.2,1.2,2015-09-09 10:54:01.0071,0,-0.1,2015-09-09 10:56:45.0071,-0.1,0
2015-09-09 10:48:05.0077,0.2,1.3,2015-09-09 10:54:01.0077,-0.1,-0.1,2015-09-09 10:56:45.0077,0,0
2015-09-09 10:48:05.0083,0.3,1.1,2015-09-09 10:54:01.0083,-0.1,0,2015-09-09 10:56:45.0083,0,0
2015-09-09 10:48:05.0089,0,0.9,2015-09-09 10:54:01.0089,-0.2,0,2015-09-09 10:56:45.0089,-0.1,-0.3
2015-09-09 10:48:05.0094,-0.3,0.7,2015-09-09 10:54:01.0094,-0.5,0,2015-09-09 10:56:45.0094,-0.2,-0.4
2015-09-09 10:48:05.0100,-0.4,0.7,2015-09-09 10:54:01.0100,-0.5,0.1,2015-09-09 10:56:45.0100,-0.3,-0.5
2015-09-09 10:48:05.0106,-0.4,0.8,2015-09-09 10:54:01.0106,-0.4,0.4,2015-09-09 10:56:45.0106,-0.2,-0.5
2015-09-09 10:48:05.0112,-0.3,0.7,2015-09-09 10:54:01.0112,-0.4,0.6,2015-09-09 10:56:45.0112,-0.2,-0.4
2015-09-09 10:48:05.0118,-0.4,0.7,2015-09-09 10:54:01.0118,-0.2,0.9,2015-09-09 10:56:45.0118,-0.3,-0.3
2015-09-09 10:48:05.0124,-0.3,0.6,2015-09-09 10:54:01.0124,-0.3,0.9,2015-09-09 10:56:45.0124,-0.3,-0.2
2015-09-09 10:48:05.0130,-0.2,0.6,2015-09-09 10:54:01.0130,-0.3,1,2015-09-09 10:56:45.0130,-0.2,0
2015-09-09 10:48:05.0136,-0.1,0.5,2015-09-09 10:54:01.0136,-0.2,1.1,2015-09-09 10:56:45.0136,0,0
2015-09-09 10:48:05.0142,0.1,0.3,2015-09-09 10:54:01.0142,-0.2,1.2,2015-09-09 10:56:45.0142,0,0
2015-09-09 10:48:05.0148,0.1,0.1,2015-09-09 10:54:01.0148,-0.1,1.3,2015-09-09 10:56:45.0148,0,0
2015-09-09 10:48:05.0153,0.3,0,2015-09-09 10:54:01.0153,-0.2,1.4,2015-09-09 10:56:45.0153,0,-0.2
2015-09-09 10:48:05.0159,0.5,0,2015-09-09 10:54:01.0159,-0.2,1.5,2015-09-09 10:56:45.0159,0,-0.3
2015-09-09 10:48:05.0165,0.6,-0.2,2015-09-09 10:54:01.0165,-0.3,1.5,2015-09-09 10:56:45.0165,0,-0.6
2015-09-09 10:48:05.0171,0.5,-0.5,2015-09-09 10:54:01.0171,-0.6,1.3,2015-09-09 10:56:45.0171,-0.2,-0.8
2015-09-09 10:48:05.0177,0.2,-0.7,2015-09-09 10:54:01.0177,-0.9,1.2,2015-09-09 10:56:45.0177,-0.5,-1
2015-09-09 10:48:05.0183,0.2,-0.8,2015-09-09 10:54:01.0183,-1,1.3,2015-09-09 10:56:45.0183,-0.7,-1.2
2015-09-09 10:48:05.0189,0.3,-0.9,2015-09-09 10:54:01.0189,-1.1,1.1,2015-09-09 10:56:45.0189,-0.7,-1.3
2015-09-09 10:48:05.0195,0.5,-0.9,2015-09-09 10:54:01.0195,-1.1,1.2,2015-09-09 10:56:45.0195,-0.8,-1.3
2015-09-09 10:48:05.0201,0.4,-1,2015-09-09 10:54:01.0201,-1.1,1.1,2015-09-09 10:56:45.0201,-0.7,-1.4
2015-09-09 10:48:05.0207,0.3,-0.9,2015-09-09 10:54:01.0207,-1.3,1,2015-09-09 10:56:45.0207,-0.8,-1.5
2015-09-09 10:48:05.0212,0.2,-0.8,2015-09-09 10:54:01.0212,-1.3,0.9,2015-09-09 10:56:45.0212,-0.7,-1.5
2015-09-09 10:48:05.0218,0.2,-0.8,2015-09-09 10:54:01.0218,-1.4,0.8,2015-09-09 10:56:45.0218,-0.6,-1.5
2015-09-09 10:48:05.0224,0.1,-0.8,2015-09-09 10:54:01.0224,-1.5,0.7,2015-09-09 10:56:45.0224,-0.5,-1.5
2015-09-09 10:48:05.0230,0,-0.9,2015-09-09 10:54:01.0230,-1.5,0.5,2015-09-09 10:56:45.0230,-0.5,-1.5
2015-09-09 10:48:05.0236,-0.2,-0.9,2015-09-09 10:54:01.0236,-1.5,0.5,2015-09-09 10:56:45.0236,-0.6,-1.4
2015-09-09 10:48:05.0242,-0.2,-1.1,2015-09-09 10:54:01.0242,-1.6,0.4,2015-09-09 10:56:45.0242,-0.6,-1.4
2015-09-09 10:48:05.0248,-0.2,-1.1,2015-09-09 10:54:01.0248,-1.7,0.3,2015-09-09 10:56:45.0248,-0.4,-1.5
2015-09-09 10:48:05.0254,-0.3,-1.4,2015-09-09 10:54:01.0254,-1.8,0.2,2015-09-09 10:56:45.0254,-0.5,-1.6
2015-09-09 10:48:05.0260,-0.7,-1.8,2015-09-09 10:54:01.0260,-2.1,0,2015-09-09 10:56:45.0260,-0.8,-1.8
2015-09-09 10:48:05.0266,-1,-1.9,2015-09-09 10:54:01.0266,-2.3,0,2015-09-09 10:56:45.0266,-0.9,-2
2015-09-09 10:48:05.0272,-1,-1.9,2015-09-09 10:54:01.0272,-2.3,0,2015-09-09 10:56:45.0272,-1,-2
2015-09-09 10:48:05.0277,-1,-2,2015-09-09 10:54:01.0277,-2.4,0,2015-09-09 10:56:45.0277,-1.1,-2
2015-09-09 10:48:05.0283,-1,-2.1,2015-09-09 10:54:01.0283,-2.5,0,2015-09-09 10:56:45.0283,-1.1,-2
2015-09-09 10:48:05.0289,-1,-2.1,2015-09-09 10:54:01.0289,-2.7,0,2015-09-09 10:56:45.0289,-1.1,-2
2015-09-09 10:48:05.0295,-1,-2.1,2015-09-09 10:54:01.0295,-2.8,0,2015-09-09 10:56:45.0295,-1.2,-2
2015-09-09 10:48:05.0301,-0.8,-2.1,2015-09-09 10:54:01.0301,-2.7,0,2015-09-09 10:56:45.0301,-1,-2
2015-09-09 10:48:05.0307,-0.7,-2,2015-09-09 10:54:01.0307,-2.7,0.1,2015-09-09 10:56:45.0307,-0.9,-2.1
