TIME_1,RE_1,LE_1,TIME_2,RE_2,LE_2
2014-05-15 13:04:03.0000,0,0,2014-05-15 13:07:50.0000,0,0
2014-05-15 13:04:03.0006,-0.1,0.7,2014-05-15 13:07:50.0006,-0.1,0.4
2014-05-15 13:04:03.0012,-0.5,0.6,2014-05-15 13:07:50.0012,-0.4,0.5
2014-05-15 13:04:03.0018,-0.4,0.8,2014-05-15 13:07:50.0018,-0.3,0.7
2014-05-15 13:04:03.0024,-0.2,1.1,2014-05-15 13:07:50.0024,-0.3,0.9
2014-05-15 13:04:03.0030,0,1.4,2014-05-15 13:07:50.0030,0,1.2
2014-05-15 13:04:03.0035,0.3,1.7,2014-05-15 13:07:50.0035,0,1.3
2014-05-15 13:04:03.0041,0.5,2,2014-05-15 13:07:50.0041,0.3,1.7
2014-05-15 13:04:03.0047,0.7,2.1,2014-05-15 13:07:50.0047,0.4,1.9
2014-05-15 13:04:03.0053,0.9,2.2,2014-05-15 13:07:50.0053,0.6,2.1
2014-05-15 13:04:03.0059,0.9,2.3,2014-05-15 13:07:50.0059,0.6,2.2
2014-05-15 13:04:03.0065,1,2.2,2014-05-15 13:07:50.0065,0.6,2.3
2014-05-15 13:04:03.0071,1,2.1,2014-05-15 13:07:50.0071,0.6,2.2
2014-05-15 13:04:03.0077,1,2.1,2014-05-15 13:07:50.0077,0.6,2.3
2014-05-15 13:04:03.0083,1,2,2014-05-15 13:07:50.0083,0.5,2.2
2014-05-15 13:04:03.0089,0.8,1.8,2014-05-15 13:07:50.0089,0.2,2
2014-05-15 13:04:03.0094,0.4,1.6,2014-05-15 13:07:50.0094,-0.1,1.9
2014-05-15 13:04:03.0100,0.1,1.6,2014-05-15 13:07:50.0100,-0.2,1.7
2014-05-15 13:04:03.0106,0,1.7,2014-05-15 13:07:50.0106,-0.2,1.8
2014-05-15 13:04:03.0112,0.1,1.8,2014-05-15 13:07:50.0112,-0.2,1.9
2014-05-15 13:04:03.0118,0.2,1.9,2014-05-15 13:07:50.0118,0,2.1
2014-05-15 13:04:03.0124,0,1.9,2014-05-15 13:07:50.0124,0,2.2
2014-05-15 13:04:03.0130,0,1.9,2014-05-15 13:07:50.0130,0,2.4
2014-05-15 13:04:03.0136,0.1,1.9,2014-05-15 13:07:50.0136,0,2.6
2014-05-15 13:04:03.0142,0.2,1.8,2014-05-15 13:07:50.0142,0,2.8
2014-05-15 13:04:03.0148,0.2,1.9,2014-05-15 13:07:50.0148,0,3.2
2014-05-15 13:04:03.0153,0.3,2,2014-05-15 13:07:50.0153,0,3.5
2014-05-15 13:04:03.0159,0.3,2,2014-05-15 13:07:50.0159,0,3.8
2014-05-15 13:04:03.0165,0.4,2,2014-05-15 13:07:50.0165,-0.1,3.9
2014-05-15 13:04:03.0171,0.2,1.6,2014-05-15 13:07:50.0171,-0.4,3.7
2014-05-15 13:04:03.0177,-0.1,1.3,2014-05-15 13:07:50.0177,-0.8,3.5
2014-05-15 13:04:03.0183,-0.2,1.2,2014-05-15 13:07:50.0183,-1.1,3.3
2014-05-15 13:04:03.0189,-0.2,1.2,2014-05-15 13:07:50.0189,-1.2,3.1
2014-05-15 13:04:03.0195,0,1.5,2014-05-15 13:07:50.0195,-1.3,3
2014-05-15 13:04:03.0201,0.1,1.6,2014-05-15 13:07:50.0201,-1.5,2.7
2014-05-15 13:04:03.0207,0.1,1.8,2014-05-15 13:07:50.0207,-1.6,2.7
2014-05-15 13:04:03.0212,0.1,1.9,2014-05-15 13:07:50.0212,-1.8,2.7
2014-05-15 13:04:03.0218,0.1,2,2014-05-15 13:07:50.0218,-2,2.6
2014-05-15 13:04:03.0224,0.2,2.1,2014-05-15 13:07:50.0224,-2.1,2.6
2014-05-15 13:04:03.0230,0.3,2.1,2014-05-15 13:07:50.0230,-2,2.7
2014-05-15 13:04:03.0236,0.3,2.1,2014-05-15 13:07:50.0236,-1.9,2.8
2014-05-15 13:04:03.0242,0.3,2,2014-05-15 13:07:50.0242,-2,3
2014-05-15 13:04:03.0248,0.2,2,2014-05-15 13:07:50.0248,-1.8,3.2
