TIME_1,RE_1,LE_1,TIME_2,RE_2,LE_2
2006-11-24 10:34:59.0000,0,0,2006-11-24 10:38:57.0000,0,0
2006-11-24 10:34:59.0006,0,-0.4,2006-11-24 10:38:57.0006,0,0
2006-11-24 10:34:59.0012,0,-0.2,2006-11-24 10:38:57.0012,-0.2,0.1
2006-11-24 10:34:59.0018,0,0,2006-11-24 10:38:57.0018,-0.3,0.2
2006-11-24 10:34:59.0024,0.2,0.1,2006-11-24 10:38:57.0024,-0.4,0.3
2006-11-24 10:34:59.0030,0.1,0.2,2006-11-24 10:38:57.0030,-0.4,0.4
2006-11-24 10:34:59.0035,0.1,0.2,2006-11-24 10:38:57.0035,-0.2,0.6
2006-11-24 10:34:59.0041,0.1,0.2,2006-11-24 10:38:57.0041,-0.2,0.6
2006-11-24 10:34:59.0047,0,0.2,2006-11-24 10:38:57.0047,-0.1,0.8
2006-11-24 10:34:59.0053,0,0.1,2006-11-24 10:38:57.0053,0,0.8
2006-11-24 10:34:59.0059,-0.1,0,2006-11-24 10:38:57.0059,-0.1,0.9
2006-11-24 10:34:59.0065,-0.2,0,2006-11-24 10:38:57.0065,-0.2,0.8
2006-11-24 10:34:59.0071,-0.3,-0.1,2006-11-24 10:38:57.0071,-0.3,0.9
2006-11-24 10:34:59.0077,-0.3,-0.1,2006-11-24 10:38:57.0077,-0.4,1
2006-11-24 10:34:59.0083,-0.3,-0.1,2006-11-24 10:38:57.0083,-0.4,1.1
2006-11-24 10:34:59.0089,-0.3,-0.1,2006-11-24 10:38:57.0089,-0.5,1
2006-11-24 10:34:59.0094,-0.4,0,2006-11-24 10:38:57.0094,-0.6,1
2006-11-24 10:34:59.0100,-0.5,0,2006-11-24 10:38:57.0100,-0.6,1
2006-11-24 10:34:59.0106,-0.6,-0.1,2006-11-24 10:38:57.0106,-0.6,0.8
2006-11-24 10:34:59.0112,-0.8,-0.2,2006-11-24 10:38:57.0112,-0.7,0.9
2006-11-24 10:34:59.0118,-0.8,-0.4,2006-11-24 10:38:57.0118,-0.7,0.8
2006-11-24 10:34:59.0124,-0.9,-0.5,2006-11-24 10:38:57.0124,-0.8,0.8
2006-11-24 10:34:59.0130,-1.1,-0.6,2006-11-24 10:38:57.0130,-0.8,0.7
2006-11-24 10:34:59.0136,-1.1,-0.5,2006-11-24 10:38:57.0136,-0.7,0.6
2006-11-24 10:34:59.0142,-1.1,-0.6,2006-11-24 10:38:57.0142,-0.8,0.2
2006-11-24 10:34:59.0148,-1.1,-0.5,2006-11-24 10:38:57.0148,-0.8,0
2006-11-24 10:34:59.0153,-1,-0.5,2006-11-24 10:38:57.0153,-0.8,-0.1
2006-11-24 10:34:59.0159,-1,-0.5,2006-11-24 10:38:57.0159,-0.8,-0.2
2006-11-24 10:34:59.0165,-1.1,-0.4,2006-11-24 10:38:57.0165,-0.8,-0.2
2006-11-24 10:34:59.0171,-1.3,-0.5,2006-11-24 10:38:57.0171,-0.9,-0.2
2006-11-24 10:34:59.0177,-1.6,-0.5,2006-11-24 10:38:57.0177,-0.8,0
2006-11-24 10:34:59.0183,-1.8,-0.4,2006-11-24 10:38:57.0183,-0.8,0
2006-11-24 10:34:59.0189,-1.9,-0.4,2006-11-24 10:38:57.0189,-0.8,0.1
2006-11-24 10:34:59.0195,-2.1,-0.3,2006-11-24 10:38:57.0195,-0.8,0.3
2006-11-24 10:34:59.0201,-2.1,-0.2,2006-11-24 10:38:57.0201,-0.9,0.4
2006-11-24 10:34:59.0207,-2.1,-0.1,2006-11-24 10:38:57.0207,-0.9,0.5
2006-11-24 10:34:59.0212,-2.1,0.1,2006-11-24 10:38:57.0212,-1,0.6
2006-11-24 10:34:59.0218,-2.1,0.2,2006-11-24 10:38:57.0218,-1.2,0.5
2006-11-24 10:34:59.0224,-2,0.3,2006-11-24 10:38:57.0224,-1.2,0.5
2006-11-24 10:34:59.0230,-2,0.3,2006-11-24 10:38:57.0230,-1.2,0.3
2006-11-24 10:34:59.0236,-2,0.3,2006-11-24 10:38:57.0236,-1.3,0.2
2006-11-24 10:34:59.0242,-2.1,0.4,2006-11-24 10:38:57.0242,-1.4,0.1
2006-11-24 10:34:59.0248,-2.2,0.4,2006-11-24 10:38:57.0248,-1.5,0
2006-11-24 10:34:59.0254,-2.5,0.3,2006-11-24 10:38:57.0254,-1.6,0.1
2006-11-24 10:34:59.0260,-2.8,0.2,2006-11-24 10:38:57.0260,-1.8,0
2006-11-24 10:34:59.0266,-3,0.1,2006-11-24 10:38:57.0266,-2,0.1
2006-11-24 10:34:59.0272,-3.1,0,2006-11-24 10:38:57.0272,-2.1,0.2
2006-11-24 10:34:59.0277,-3.2,-0.2,2006-11-24 10:38:57.0277,-2.1,0.4
2006-11-24 10:34:59.0283,-3.2,-0.3,2006-11-24 10:38:57.0283,-2.1,0.4
2006-11-24 10:34:59.0289,-3.2,-0.5,2006-11-24 10:38:57.0289,-2.1,0.6
2006-11-24 10:34:59.0295,-3.3,-0.5,2006-11-24 10:38:57.0295,-2.2,0.7
2006-11-24 10:34:59.0301,-3.3,-0.5,2006-11-24 10:38:57.0301,-2.1,0.9
2006-11-24 10:34:59.0307,-3.3,-0.6,2006-11-24 10:38:57.0307,-2.1,1
2006-11-24 10:34:59.0313,-3.3,-0.5,2006-11-24 10:38:57.0313,-2.1,1.1
2006-11-24 10:34:59.0319,-3.3,-0.4,2006-11-24 10:38:57.0319,-2.1,1.3
2006-11-24 10:34:59.0325,-3.3,-0.3,2006-11-24 10:38:57.0325,-2.1,1.4
2006-11-24 10:34:59.0331,-3.2,-0.3,2006-11-24 10:38:57.0331,-2,1.4
2006-11-24 10:34:59.0336,-3.1,-0.1,2006-11-24 10:38:57.0336,-2.1,1.3
2006-11-24 10:34:59.0342,-3.1,0.1,2006-11-24 10:38:57.0342,-2.1,1.2
2006-11-24 10:34:59.0348,-3,0.4,2006-11-24 10:38:57.0348,-2.1,1.3
2006-11-24 10:34:59.0354,-2.9,0.6,2006-11-24 10:38:57.0354,-2.3,1.2
2006-11-24 10:34:59.0360,-2.9,0.9,2006-11-24 10:38:57.0360,-2.4,1.4
2006-11-24 10:34:59.0366,-2.7,1.1,2006-11-24 10:38:57.0366,-2.4,1.5
2006-11-24 10:34:59.0372,-2.7,1.2,2006-11-24 10:38:57.0372,-2.3,1.8
2006-11-24 10:34:59.0378,-2.8,1.4,2006-11-24 10:38:57.0378,-2.2,1.9
2006-11-24 10:34:59.0384,-2.8,1.4,2006-11-24 10:38:57.0384,-2.1,2.1
2006-11-24 10:34:59.0390,-2.8,1.4,2006-11-24 10:38:57.0390,-2,2.3
2006-11-24 10:34:59.0395,-2.9,1.6,2006-11-24 10:38:57.0395,-2,2.6
2006-11-24 10:34:59.0401,-2.9,1.8,2006-11-24 10:38:57.0401,-1.9,2.9
2006-11-24 10:34:59.0407,-2.9,2,2006-11-24 10:38:57.0407,-2,3.2
2006-11-24 10:34:59.0413,-2.6,2.3,2006-11-24 10:38:57.0413,-2.1,3.6
2006-11-24 10:34:59.0419,-2.4,2.5,2006-11-24 10:38:57.0419,-2.1,3.9
2006-11-24 10:34:59.0425,-2.5,2.8,2006-11-24 10:38:57.0425,-2.2,4.3
2006-11-24 10:34:59.0431,-2.5,3,2006-11-24 10:38:57.0431,-2.3,4.4
2006-11-24 10:34:59.0437,-2.6,3.1,2006-11-24 10:38:57.0437,-2.3,4.5
2006-11-24 10:34:59.0443,-2.6,3.2,2006-11-24 10:38:57.0443,-2.3,4.5
2006-11-24 10:34:59.0449,-2.6,3.3,2006-11-24 10:38:57.0449,-2.3,4.6
2006-11-24 10:34:59.0455,-2.7,3.3,2006-11-24 10:38:57.0455,-2.4,4.5
2006-11-24 10:34:59.0460,-2.8,3.3,2006-11-24 10:38:57.0460,-2.5,4.5
2006-11-24 10:34:59.0466,-2.9,3.3,2006-11-24 10:38:57.0466,-2.6,4.6
