TIME_1,RE_1,LE_1,TIME_2,RE_2,LE_2,TIME_3,RE_3,LE_3
2014-01-09 12:42:06.0000,0,0,2014-01-09 12:43:21.0000,0,0,2014-01-09 12:45:10.0000,0,0
2014-01-09 12:42:06.0006,-0.2,0.2,2014-01-09 12:43:21.0006,-0.1,-0.3,2014-01-09 12:45:10.0006,-0.2,-0.3
2014-01-09 12:42:06.0012,-0.7,0.2,2014-01-09 12:43:21.0012,-0.5,-0.6,2014-01-09 12:45:10.0012,-0.6,-0.5
2014-01-09 12:42:06.0018,-0.9,0.2,2014-01-09 12:43:21.0018,-0.5,-0.8,2014-01-09 12:45:10.0018,-0.8,-0.6
2014-01-09 12:42:06.0024,-1,0.5,2014-01-09 12:43:21.0024,-0.3,-0.8,2014-01-09 12:45:10.0024,-0.7,-0.6
2014-01-09 12:42:06.0030,-0.9,0.6,2014-01-09 12:43:21.0030,0,-0.6,2014-01-09 12:45:10.0030,-0.7,-0.6
2014-01-09 12:42:06.0035,-0.8,0.7,2014-01-09 12:43:21.0035,0.2,-0.6,2014-01-09 12:45:10.0035,-0.6,-0.7
2014-01-09 12:42:06.0041,-0.7,0.7,2014-01-09 12:43:21.0041,0.4,-0.6,2014-01-09 12:45:10.0041,-0.4,-0.7
2014-01-09 12:42:06.0047,-0.6,0.7,2014-01-09 12:43:21.0047,0.4,-0.7,2014-01-09 12:45:10.0047,-0.3,-0.8
2014-01-09 12:42:06.0053,-0.5,0.7,2014-01-09 12:43:21.0053,0.6,-0.6,2014-01-09 12:45:10.0053,0,-0.6
2014-01-09 12:42:06.0059,-0.3,0.7,2014-01-09 12:43:21.0059,0.7,-0.8,2014-01-09 12:45:10.0059,0.3,-0.5
2014-01-09 12:42:06.0065,0,0.8,2014-01-09 12:43:21.0065,0.5,-1,2014-01-09 12:45:10.0065,0.6,-0.4
2014-01-09 12:42:06.0071,0.1,0.8,2014-01-09 12:43:21.0071,0.4,-1.1,2014-01-09 12:45:10.0071,0.9,-0.4
2014-01-09 12:42:06.0077,0.1,0.7,2014-01-09 12:43:21.0077,0.4,-1.3,2014-01-09 12:45:10.0077,0.9,-0.4
2014-01-09 12:42:06.0083,0.1,0.7,2014-01-09 12:43:21.0083,0.5,-1.2,2014-01-09 12:45:10.0083,0.9,-0.5
2014-01-09 12:42:06.0089,0,0.3,2014-01-09 12:43:21.0089,0.4,-1.4,2014-01-09 12:45:10.0089,0.7,-0.8
2014-01-09 12:42:06.0094,-0.4,0.1,2014-01-09 12:43:21.0094,-0.1,-1.5,2014-01-09 12:45:10.0094,0.2,-1
2014-01-09 12:42:06.0100,-0.7,0.1,2014-01-09 12:43:21.0100,-0.3,-1.5,2014-01-09 12:45:10.0100,0.1,-1.1
2014-01-09 12:42:06.0106,-0.9,0,2014-01-09 12:43:21.0106,-0.4,-1.4,2014-01-09 12:45:10.0106,0.2,-1.2
2014-01-09 12:42:06.0112,-1.1,0,2014-01-09 12:43:21.0112,-0.2,-1.1,2014-01-09 12:45:10.0112,0.1,-1.1
2014-01-09 12:42:06.0118,-1.1,0,2014-01-09 12:43:21.0118,-0.1,-0.9,2014-01-09 12:45:10.0118,0.3,-0.9
2014-01-09 12:42:06.0124,-1.1,0,2014-01-09 12:43:21.0124,-0.2,-0.7,2014-01-09 12:45:10.0124,0.4,-0.8
2014-01-09 12:42:06.0130,-1.1,-0.2,2014-01-09 12:43:21.0130,-0.2,-0.5,2014-01-09 12:45:10.0130,0.7,-0.6
2014-01-09 12:42:06.0136,-1.1,-0.2,2014-01-09 12:43:21.0136,0,-0.2,2014-01-09 12:45:10.0136,0.8,-0.6
2014-01-09 12:42:06.0142,-0.9,-0.3,2014-01-09 12:43:21.0142,0.1,0,2014-01-09 12:45:10.0142,0.9,-0.6
2014-01-09 12:42:06.0148,-0.4,-0.3,2014-01-09 12:43:21.0148,0.2,0,2014-01-09 12:45:10.0148,1,-0.6
2014-01-09 12:42:06.0153,-0.1,-0.3,2014-01-09 12:43:21.0153,0.2,0,2014-01-09 12:45:10.0153,0.9,-0.7
2014-01-09 12:42:06.0159,0,-0.3,2014-01-09 12:43:21.0159,0.3,0,2014-01-09 12:45:10.0159,0.6,-0.8
2014-01-09 12:42:06.0165,0.1,-0.4,2014-01-09 12:43:21.0165,0.3,0,2014-01-09 12:45:10.0165,0.6,-0.9
2014-01-09 12:42:06.0171,0,-0.6,2014-01-09 12:43:21.0171,0.3,-0.2,2014-01-09 12:45:10.0171,0.4,-1
2014-01-09 12:42:06.0177,-0.5,-0.7,2014-01-09 12:43:21.0177,0,-0.5,2014-01-09 12:45:10.0177,0,-1.2
2014-01-09 12:42:06.0183,-0.8,-0.8,2014-01-09 12:43:21.0183,-0.2,-0.7,2014-01-09 12:45:10.0183,-0.2,-1.2
2014-01-09 12:42:06.0189,-0.9,-0.8,2014-01-09 12:43:21.0189,-0.3,-0.9,2014-01-09 12:45:10.0189,-0.4,-1.2
2014-01-09 12:42:06.0195,-0.8,-0.8,2014-01-09 12:43:21.0195,-0.1,-0.9,2014-01-09 12:45:10.0195,-0.5,-1.2
2014-01-09 12:42:06.0201,-0.6,-0.9,2014-01-09 12:43:21.0201,0,-1,2014-01-09 12:45:10.0201,-0.5,-1.2
2014-01-09 12:42:06.0207,-0.4,-0.9,2014-01-09 12:43:21.0207,0,-1,2014-01-09 12:45:10.0207,-0.3,-1.2
2014-01-09 12:42:06.0212,-0.2,-1,2014-01-09 12:43:21.0212,0.1,-1,2014-01-09 12:45:10.0212,-0.1,-1.1
2014-01-09 12:42:06.0218,0,-0.9,2014-01-09 12:43:21.0218,0.2,-0.9,2014-01-09 12:45:10.0218,0,-1.1
2014-01-09 12:42:06.0224,0.1,-0.8,2014-01-09 12:43:21.0224,0.2,-0.8,2014-01-09 12:45:10.0224,-0.1,-1.1
2014-01-09 12:42:06.0230,0.2,-0.6,2014-01-09 12:43:21.0230,0.1,-0.8,2014-01-09 12:45:10.0230,-0.1,-1
2014-01-09 12:42:06.0236,0.4,-0.5,2014-01-09 12:43:21.0236,0.2,-0.7,2014-01-09 12:45:10.0236,-0.1,-0.9
2014-01-09 12:42:06.0242,0.5,-0.5,2014-01-09 12:43:21.0242,0.1,-0.8,2014-01-09 12:45:10.0242,-0.1,-1
2014-01-09 12:42:06.0248,0.4,-0.4,2014-01-09 12:43:21.0248,0.1,-0.7,2014-01-09 12:45:10.0248,-0.1,-1.1
2014-01-09 12:42:06.0254,0.3,-0.5,2014-01-09 12:43:21.0254,0.1,-0.9,2014-01-09 12:45:10.0254,0,-1.4
