TIME_1,RE_1,LE_1
2004-12-16 13:36:26.0000,0,0
2004-12-16 13:36:26.0006,0,-0.2
2004-12-16 13:36:26.0012,-0.1,-0.3
2004-12-16 13:36:26.0018,-0.1,-0.3
2004-12-16 13:36:26.0024,0,-0.3
2004-12-16 13:36:26.0030,0,-0.3
2004-12-16 13:36:26.0035,0.1,-0.3
2004-12-16 13:36:26.0041,0.2,-0.3
2004-12-16 13:36:26.0047,0.3,-0.1
2004-12-16 13:36:26.0053,0.3,0
2004-12-16 13:36:26.0059,0.3,0
2004-12-16 13:36:26.0065,0.2,0.1
2004-12-16 13:36:26.0071,0.2,0.2
2004-12-16 13:36:26.0077,0.1,0.3
2004-12-16 13:36:26.0083,0,0.4
2004-12-16 13:36:26.0089,0,0.4
2004-12-16 13:36:26.0094,0,0.5
2004-12-16 13:36:26.0100,-0.1,0.6
2004-12-16 13:36:26.0106,0,0.6
2004-12-16 13:36:26.0112,0,0.7
2004-12-16 13:36:26.0118,0,0.7
2004-12-16 13:36:26.0124,0.1,0.7
2004-12-16 13:36:26.0130,0.1,0.8
2004-12-16 13:36:26.0136,0.2,0.8
2004-12-16 13:36:26.0142,0.3,0.8
2004-12-16 13:36:26.0148,0.4,0.9
2004-12-16 13:36:26.0153,0.5,1
2004-12-16 13:36:26.0159,0.6,1.1
2004-12-16 13:36:26.0165,0.6,1
2004-12-16 13:36:26.0171,0.7,1
2004-12-16 13:36:26.0177,0.4,1
2004-12-16 13:36:26.0183,0.3,0.9
2004-12-16 13:36:26.0189,0.1,1
2004-12-16 13:36:26.0195,0.1,1
2004-12-16 13:36:26.0201,0,1.1
2004-12-16 13:36:26.0207,0,1.3
2004-12-16 13:36:26.0212,0,1.5
2004-12-16 13:36:26.0218,0,1.8
2004-12-16 13:36:26.0224,0.2,2.1
2004-12-16 13:36:26.0230,0.3,2.2
2004-12-16 13:36:26.0236,0.4,2.5
2004-12-16 13:36:26.0242,0.4,2.6
2004-12-16 13:36:26.0248,0.6,2.7
2004-12-16 13:36:26.0254,0.5,2.7
2004-12-16 13:36:26.0260,0.5,2.8
2004-12-16 13:36:26.0266,0.5,2.8
2004-12-16 13:36:26.0272,0.4,2.9
2004-12-16 13:36:26.0277,0.5,3
2004-12-16 13:36:26.0283,0.4,3
2004-12-16 13:36:26.0289,0.4,3.1
2004-12-16 13:36:26.0295,0.3,3.1
2004-12-16 13:36:26.0301,0.3,3.1
2004-12-16 13:36:26.0307,0.2,3.2
2004-12-16 13:36:26.0313,0.2,3.1
2004-12-16 13:36:26.0319,0.2,3.2
2004-12-16 13:36:26.0325,0.1,3.2
2004-12-16 13:36:26.0331,0.1,3.2
2004-12-16 13:36:26.0336,0,3.2
2004-12-16 13:36:26.0342,-0.1,3.2
2004-12-16 13:36:26.0348,-0.4,3.3
2004-12-16 13:36:26.0354,-0.4,3.3
2004-12-16 13:36:26.0360,-0.5,3.4
2004-12-16 13:36:26.0366,-0.4,3.5
2004-12-16 13:36:26.0372,-0.3,3.7
2004-12-16 13:36:26.0378,-0.3,3.8
2004-12-16 13:36:26.0384,-0.2,3.9
2004-12-16 13:36:26.0390,-0.1,3.9
2004-12-16 13:36:26.0395,0,4.1
2004-12-16 13:36:26.0401,0.1,4.2
2004-12-16 13:36:26.0407,0.1,4.2
2004-12-16 13:36:26.0413,0.1,4.3
2004-12-16 13:36:26.0419,0.1,4.3
2004-12-16 13:36:26.0425,0,4.3
2004-12-16 13:36:26.0431,-0.2,4.2
2004-12-16 13:36:26.0437,-0.3,4.3
2004-12-16 13:36:26.0443,-0.3,4.4
2004-12-16 13:36:26.0449,-0.4,4.5
2004-12-16 13:36:26.0455,-0.4,4.4
2004-12-16 13:36:26.0460,-0.4,4.5
2004-12-16 13:36:26.0466,-0.4,4.7
