TIME_1,RE_1,LE_1
2005-01-15 11:09:27.0761,-3.9,1.2
2005-01-15 11:09:27.0767,-4,1.1
2005-01-15 11:09:27.0773,-4.2,0.8
2005-01-15 11:09:27.0779,-4.3,0.6
2005-01-15 11:09:27.0785,-4.4,0.4
2005-01-15 11:09:27.0791,-4.5,0.2
2005-01-15 11:09:27.0797,-4.6,0
2005-01-15 11:09:27.0803,-4.7,-0.1
2005-01-15 11:09:27.0809,-5.1,-0.4
2005-01-15 11:09:27.0815,-5.4,-0.5
2005-01-15 11:09:27.0820,-5.8,-0.6
2005-01-15 11:09:27.0826,-6.2,-0.6
2005-01-15 11:09:27.0832,-6.4,-0.6
2005-01-15 11:09:27.0838,-6.9,-0.6
2005-01-15 11:09:27.0844,-7.2,-0.7
2005-01-15 11:09:27.0850,-7.5,-0.6
2005-01-15 11:09:27.0856,-7.7,-0.6
2005-01-15 11:09:27.0862,-8,-0.7
2005-01-15 11:09:27.0868,-8.1,-0.9
2005-01-15 11:09:27.0874,-8.3,-1.1
2005-01-15 11:09:27.0880,-8.4,-1.3
2005-01-15 11:09:27.0885,-8.4,-1.4
2005-01-15 11:09:27.0891,-8.5,-1.5
2005-01-15 11:09:27.0897,-8.6,-1.5
2005-01-15 11:09:27.0903,-8.5,-1.5
2005-01-15 11:09:27.0909,-8.4,-1.5
2005-01-15 11:09:27.0915,-8.2,-1.4
2005-01-15 11:09:27.0921,-8,-1.4
2005-01-15 11:09:27.0927,-8.1,-1.5
2005-01-15 11:09:27.0933,-8,-1.4
2005-01-15 11:09:27.0939,-8.1,-1.3
2005-01-15 11:09:27.0944,-8.2,-1.2
2005-01-15 11:09:27.0950,-8.3,-1
2005-01-15 11:09:27.0956,-8.4,-0.6
2005-01-15 11:09:27.0962,-8.7,-0.5
2005-01-15 11:09:27.0968,-8.8,-0.2
2005-01-15 11:09:27.0974,-9,-0.1
2005-01-15 11:09:27.0980,-9.1,0
2005-01-15 11:09:27.0986,-9.1,0.1
2005-01-15 11:09:27.0992,-9,0.2
