TIME_1,RE_1,LE_1,TIME_2,RE_2,LE_2
2009-09-10 23:58:16.0000,0,0,2009-09-10 23:56:30.0000,0,0
2009-09-10 23:58:16.0006,-0.1,0,2009-09-10 23:56:30.0006,0,0.2
2009-09-10 23:58:16.0012,-0.2,0,2009-09-10 23:56:30.0012,0,0.2
2009-09-10 23:58:16.0018,-0.3,0.1,2009-09-10 23:56:30.0018,0.1,0.4
2009-09-10 23:58:16.0024,-0.1,0.2,2009-09-10 23:56:30.0024,0.2,0.5
2009-09-10 23:58:16.0030,0,0.2,2009-09-10 23:56:30.0030,0.3,0.6
2009-09-10 23:58:16.0035,0.1,0.3,2009-09-10 23:56:30.0035,0.4,0.6
2009-09-10 23:58:16.0041,0.3,0.2,2009-09-10 23:56:30.0041,0.4,0.5
2009-09-10 23:58:16.0047,0.3,0.2,2009-09-10 23:56:30.0047,0.3,0.5
2009-09-10 23:58:16.0053,0.3,0.2,2009-09-10 23:56:30.0053,0.2,0.5
2009-09-10 23:58:16.0059,0.4,0.2,2009-09-10 23:56:30.0059,0.1,0.4
2009-09-10 23:58:16.0065,0.4,0.2,2009-09-10 23:56:30.0065,0,0.5
2009-09-10 23:58:16.0071,0.4,0.2,2009-09-10 23:56:30.0071,0,0.4
2009-09-10 23:58:16.0077,0.3,0.1,2009-09-10 23:56:30.0077,-0.1,0.4
2009-09-10 23:58:16.0083,0.3,0,2009-09-10 23:56:30.0083,-0.2,0.3
2009-09-10 23:58:16.0089,0.2,0.1,2009-09-10 23:56:30.0089,-0.3,0.3
2009-09-10 23:58:16.0094,0,0.2,2009-09-10 23:56:30.0094,-0.5,0.2
2009-09-10 23:58:16.0100,0,0.1,2009-09-10 23:56:30.0100,-0.5,0.1
2009-09-10 23:58:16.0106,0,0.1,2009-09-10 23:56:30.0106,-0.5,0
2009-09-10 23:58:16.0112,0.1,0.2,2009-09-10 23:56:30.0112,-0.5,0
2009-09-10 23:58:16.0118,0.1,0.2,2009-09-10 23:56:30.0118,-0.6,0
2009-09-10 23:58:16.0124,0.1,0.2,2009-09-10 23:56:30.0124,-0.4,-0.1
