TIME_1,RE_1,LE_1,TIME_2,RE_2,LE_2
2006-12-16 09:54:19.0000,0,0,2006-12-16 09:55:46.0000,0,0
2006-12-16 09:54:19.0006,-0.1,0,2006-12-16 09:55:46.0006,-0.1,-0.1
2006-12-16 09:54:19.0012,-0.4,-0.2,2006-12-16 09:55:46.0012,-0.3,-0.3
2006-12-16 09:54:19.0018,-0.5,-0.2,2006-12-16 09:55:46.0018,-0.3,-0.4
2006-12-16 09:54:19.0024,-0.5,-0.3,2006-12-16 09:55:46.0024,-0.2,-0.2
2006-12-16 09:54:19.0030,-0.5,-0.3,2006-12-16 09:55:46.0030,0,0
2006-12-16 09:54:19.0035,-0.5,-0.3,2006-12-16 09:55:46.0035,0,0
2006-12-16 09:54:19.0041,-0.4,-0.4,2006-12-16 09:55:46.0041,0.2,0.1
2006-12-16 09:54:19.0047,-0.2,-0.4,2006-12-16 09:55:46.0047,0.3,0.3
2006-12-16 09:54:19.0053,0,-0.4,2006-12-16 09:55:46.0053,0.3,0.3
2006-12-16 09:54:19.0059,0,-0.5,2006-12-16 09:55:46.0059,0.3,0.4
2006-12-16 09:54:19.0065,0,-0.6,2006-12-16 09:55:46.0065,0.3,0.5
2006-12-16 09:54:19.0071,0,-0.5,2006-12-16 09:55:46.0071,0.3,0.5
2006-12-16 09:54:19.0077,0,-0.5,2006-12-16 09:55:46.0077,0.4,0.5
2006-12-16 09:54:19.0083,0,-0.4,2006-12-16 09:55:46.0083,0.3,0.5
2006-12-16 09:54:19.0089,-0.2,-0.4,2006-12-16 09:55:46.0089,0.1,0.4
2006-12-16 09:54:19.0094,-0.5,-0.3,2006-12-16 09:55:46.0094,-0.2,0.2
2006-12-16 09:54:19.0100,-0.8,-0.2,2006-12-16 09:55:46.0100,-0.4,0.1
2006-12-16 09:54:19.0106,-0.7,-0.2,2006-12-16 09:55:46.0106,-0.5,0.1
2006-12-16 09:54:19.0112,-0.7,0,2006-12-16 09:55:46.0112,-0.5,0
2006-12-16 09:54:19.0118,-0.6,0,2006-12-16 09:55:46.0118,-0.5,0
2006-12-16 09:54:19.0124,-0.5,0,2006-12-16 09:55:46.0124,-0.4,0.1
2006-12-16 09:54:19.0130,-0.4,0,2006-12-16 09:55:46.0130,-0.3,0.1
2006-12-16 09:54:19.0136,-0.3,0.1,2006-12-16 09:55:46.0136,-0.3,0.2
2006-12-16 09:54:19.0142,-0.2,0,2006-12-16 09:55:46.0142,0,0.4
2006-12-16 09:54:19.0148,-0.3,0.1,2006-12-16 09:55:46.0148,0,0.5
2006-12-16 09:54:19.0153,-0.2,0,2006-12-16 09:55:46.0153,0.1,0.4
2006-12-16 09:54:19.0159,-0.1,0,2006-12-16 09:55:46.0159,0.2,0.5
2006-12-16 09:54:19.0165,0,0,2006-12-16 09:55:46.0165,0.3,0.3
2006-12-16 09:54:19.0171,-0.2,-0.2,2006-12-16 09:55:46.0171,0.2,0.2
2006-12-16 09:54:19.0177,-0.4,-0.2,2006-12-16 09:55:46.0177,0,0
2006-12-16 09:54:19.0183,-0.5,-0.5,2006-12-16 09:55:46.0183,0,0
2006-12-16 09:54:19.0189,-0.5,-0.7,2006-12-16 09:55:46.0189,0,-0.2
2006-12-16 09:54:19.0195,-0.5,-0.8,2006-12-16 09:55:46.0195,0,-0.4
2006-12-16 09:54:19.0201,-0.4,-1,2006-12-16 09:55:46.0201,0,-0.4
2006-12-16 09:54:19.0207,-0.4,-1,2006-12-16 09:55:46.0207,0,-0.5
2006-12-16 09:54:19.0212,-0.3,-1,2006-12-16 09:55:46.0212,0,-0.6
2006-12-16 09:54:19.0218,-0.3,-1,2006-12-16 09:55:46.0218,0,-0.7
2006-12-16 09:54:19.0224,-0.4,-1.1,2006-12-16 09:55:46.0224,0,-0.8
2006-12-16 09:54:19.0230,-0.4,-1.1,2006-12-16 09:55:46.0230,0.1,-0.9
2006-12-16 09:54:19.0236,-0.4,-1.1,2006-12-16 09:55:46.0236,0.2,-1.1
2006-12-16 09:54:19.0242,-0.5,-1,2006-12-16 09:55:46.0242,0.1,-1.2
2006-12-16 09:54:19.0248,-0.5,-0.9,2006-12-16 09:55:46.0248,0,-1.3
2006-12-16 09:54:19.0254,-0.5,-0.9,2006-12-16 09:55:46.0254,0,-1.4
2006-12-16 09:54:19.0260,-0.8,-0.9,2006-12-16 09:55:46.0260,-0.5,-1.6
2006-12-16 09:54:19.0266,-0.8,-0.9,2006-12-16 09:55:46.0266,-0.8,-1.6
2006-12-16 09:54:19.0272,-0.8,-1,2006-12-16 09:55:46.0272,-1,-1.7
2006-12-16 09:54:19.0277,-0.7,-1.1,2006-12-16 09:55:46.0277,-0.9,-1.7
2006-12-16 09:54:19.0283,-0.6,-1.2,2006-12-16 09:55:46.0283,-0.9,-1.8
2006-12-16 09:54:19.0289,-0.7,-1.2,2006-12-16 09:55:46.0289,-0.7,-1.6
2006-12-16 09:54:19.0295,-0.7,-1.2,2006-12-16 09:55:46.0295,-0.7,-1.5
2006-12-16 09:54:19.0301,-0.6,-1.2,2006-12-16 09:55:46.0301,-0.5,-1.3
2006-12-16 09:54:19.0307,-0.6,-1.1,2006-12-16 09:55:46.0307,-0.4,-1
2006-12-16 09:54:19.0313,-0.4,-1,2006-12-16 09:55:46.0313,-0.3,-1
2006-12-16 09:54:19.0319,-0.2,-0.8,2006-12-16 09:55:46.0319,-0.1,-0.9
2006-12-16 09:54:19.0325,0,-0.7,2006-12-16 09:55:46.0325,0,-0.8
2006-12-16 09:54:19.0331,-0.1,-0.5,2006-12-16 09:55:46.0331,0,-0.7
2006-12-16 09:54:19.0336,0,-0.5,2006-12-16 09:55:46.0336,0,-0.7
2006-12-16 09:54:19.0342,-0.3,-0.4,2006-12-16 09:55:46.0342,-0.2,-0.6
2006-12-16 09:54:19.0348,-0.5,-0.2,2006-12-16 09:55:46.0348,-0.4,-0.6
2006-12-16 09:54:19.0354,-0.5,-0.1,2006-12-16 09:55:46.0354,-0.5,-0.4
2006-12-16 09:54:19.0360,-0.5,0,2006-12-16 09:55:46.0360,-0.4,-0.2
2006-12-16 09:54:19.0366,-0.4,0.3,2006-12-16 09:55:46.0366,-0.3,0
2006-12-16 09:54:19.0372,-0.2,0.6,2006-12-16 09:55:46.0372,-0.2,0.1
2006-12-16 09:54:19.0378,0,0.8,2006-12-16 09:55:46.0378,-0.1,0.3
2006-12-16 09:54:19.0384,0.1,1.1,2006-12-16 09:55:46.0384,0,0.4
2006-12-16 09:54:19.0390,0,1.4,2006-12-16 09:55:46.0390,0,0.5
2006-12-16 09:54:19.0395,0,1.8,2006-12-16 09:55:46.0395,0,0.7
2006-12-16 09:54:19.0401,0,2,2006-12-16 09:55:46.0401,0,0.8
2006-12-16 09:54:19.0407,0,2.2,2006-12-16 09:55:46.0407,0,1
2006-12-16 09:54:19.0413,0,2.3,2006-12-16 09:55:46.0413,0,1.3
2006-12-16 09:54:19.0419,0,2.6,2006-12-16 09:55:46.0419,-0.1,1.6
2006-12-16 09:54:19.0425,-0.2,2.6,2006-12-16 09:55:46.0425,-0.5,1.8
2006-12-16 09:54:19.0431,-0.4,2.6,2006-12-16 09:55:46.0431,-0.8,2.1
2006-12-16 09:54:19.0437,-0.5,2.8,2006-12-16 09:55:46.0437,-0.7,2.3
2006-12-16 09:54:19.0443,-0.6,2.9,2006-12-16 09:55:46.0443,-0.7,2.6
2006-12-16 09:54:19.0449,-0.5,3.1,2006-12-16 09:55:46.0449,-0.6,2.7
2006-12-16 09:54:19.0455,-0.5,3.3,2006-12-16 09:55:46.0455,-0.5,2.9
2006-12-16 09:54:19.0460,-0.4,3.6,2006-12-16 09:55:46.0460,-0.3,3.1
2006-12-16 09:54:19.0466,-0.4,3.9,2006-12-16 09:55:46.0466,-0.2,3.3
2006-12-16 09:54:19.0472,-0.5,4,2006-12-16 09:55:46.0472,0,3.4
2006-12-16 09:54:19.0478,-0.5,4.3,2006-12-16 09:55:46.0478,0,3.6
2006-12-16 09:54:19.0484,-0.5,4.4,2006-12-16 09:55:46.0484,0.1,3.9
2006-12-16 09:54:19.0490,-0.5,4.5,2006-12-16 09:55:46.0490,0.2,4
2006-12-16 09:54:19.0496,-0.5,4.6,2006-12-16 09:55:46.0496,0.2,4.1
2006-12-16 09:54:19.0502,-0.4,4.7,2006-12-16 09:55:46.0502,0.2,4.2
2006-12-16 09:54:19.0508,-0.6,4.8,2006-12-16 09:55:46.0508,0,4.1
2006-12-16 09:54:19.0514,-0.6,4.7,2006-12-16 09:55:46.0514,-0.2,4
2006-12-16 09:54:19.0519,-0.5,4.8,2006-12-16 09:55:46.0519,-0.4,3.9
2006-12-16 09:54:19.0525,-0.4,4.8,2006-12-16 09:55:46.0525,-0.5,4
