TIME_1,RE_1,LE_1,TIME_2,RE_2,LE_2
2003-11-23 10:29:07.0000,0,0,2003-11-23 10:31:19.0000,0,0
2003-11-23 10:29:07.0006,0,-1,2003-11-23 10:31:19.0006,0,0
2003-11-23 10:29:07.0012,-0.2,-0.9,2003-11-23 10:31:19.0012,-0.3,0
2003-11-23 10:29:07.0018,-0.3,-0.9,2003-11-23 10:31:19.0018,-0.4,0
2003-11-23 10:29:07.0024,-0.3,-0.9,2003-11-23 10:31:19.0024,-0.6,0
2003-11-23 10:29:07.0030,-0.3,-0.9,2003-11-23 10:31:19.0030,-0.7,-0.1
2003-11-23 10:29:07.0035,-0.2,-0.7,2003-11-23 10:31:19.0035,-0.8,-0.1
2003-11-23 10:29:07.0041,-0.1,-0.7,2003-11-23 10:31:19.0041,-0.7,-0.1
2003-11-23 10:29:07.0047,-0.1,-0.7,2003-11-23 10:31:19.0047,-0.7,0
2003-11-23 10:29:07.0053,-0.1,-0.6,2003-11-23 10:31:19.0053,-0.5,-0.2
2003-11-23 10:29:07.0059,-0.1,-0.7,2003-11-23 10:31:19.0059,-0.4,-0.2
2003-11-23 10:29:07.0065,-0.1,-0.6,2003-11-23 10:31:19.0065,-0.3,-0.2
2003-11-23 10:29:07.0071,0,-0.7,2003-11-23 10:31:19.0071,-0.3,-0.3
2003-11-23 10:29:07.0077,-0.1,-0.8,2003-11-23 10:31:19.0077,-0.3,-0.3
2003-11-23 10:29:07.0083,-0.1,-0.9,2003-11-23 10:31:19.0083,-0.3,-0.4
2003-11-23 10:29:07.0089,-0.1,-0.9,2003-11-23 10:31:19.0089,-0.5,-0.4
2003-11-23 10:29:07.0094,-0.4,-0.9,2003-11-23 10:31:19.0094,-0.8,-0.4
2003-11-23 10:29:07.0100,-0.7,-0.8,2003-11-23 10:31:19.0100,-1,-0.5
2003-11-23 10:29:07.0106,-0.7,-0.8,2003-11-23 10:31:19.0106,-1.1,-0.5
2003-11-23 10:29:07.0112,-0.8,-0.9,2003-11-23 10:31:19.0112,-1.1,-0.5
2003-11-23 10:29:07.0118,-0.7,-0.8,2003-11-23 10:31:19.0118,-1,-0.4
2003-11-23 10:29:07.0124,-0.5,-0.8,2003-11-23 10:31:19.0124,-0.8,-0.4
2003-11-23 10:29:07.0130,-0.4,-0.7,2003-11-23 10:31:19.0130,-0.7,-0.5
2003-11-23 10:29:07.0136,-0.4,-0.7,2003-11-23 10:31:19.0136,-0.6,-0.5
2003-11-23 10:29:07.0142,-0.3,-0.8,2003-11-23 10:31:19.0142,-0.5,-0.5
2003-11-23 10:29:07.0148,-0.3,-0.8,2003-11-23 10:31:19.0148,-0.7,-0.6
2003-11-23 10:29:07.0153,-0.2,-0.8,2003-11-23 10:31:19.0153,-0.7,-0.6
2003-11-23 10:29:07.0159,-0.2,-0.8,2003-11-23 10:31:19.0159,-0.7,-0.7
2003-11-23 10:29:07.0165,-0.1,-0.8,2003-11-23 10:31:19.0165,-0.8,-0.7
2003-11-23 10:29:07.0171,-0.1,-0.8,2003-11-23 10:31:19.0171,-1,-0.8
2003-11-23 10:29:07.0177,-0.2,-0.8,2003-11-23 10:31:19.0177,-1.2,-0.7
2003-11-23 10:29:07.0183,-0.3,-0.8,2003-11-23 10:31:19.0183,-1.3,-0.7
2003-11-23 10:29:07.0189,-0.4,-0.9,2003-11-23 10:31:19.0189,-1.4,-0.6
2003-11-23 10:29:07.0195,-0.4,-0.8,2003-11-23 10:31:19.0195,-1.2,-0.6
2003-11-23 10:29:07.0201,-0.5,-0.8,2003-11-23 10:31:19.0201,-1.1,-0.5
2003-11-23 10:29:07.0207,-0.5,-0.9,2003-11-23 10:31:19.0207,-1.1,-0.5
2003-11-23 10:29:07.0212,-0.6,-0.8,2003-11-23 10:31:19.0212,-1,-0.5
2003-11-23 10:29:07.0218,-0.6,-0.9,2003-11-23 10:31:19.0218,-1,-0.5
2003-11-23 10:29:07.0224,-0.7,-0.9,2003-11-23 10:31:19.0224,-1.1,-0.5
2003-11-23 10:29:07.0230,-0.8,-1,2003-11-23 10:31:19.0230,-1.2,-0.5
2003-11-23 10:29:07.0236,-0.8,-1,2003-11-23 10:31:19.0236,-1.2,-0.6
2003-11-23 10:29:07.0242,-0.7,-1,2003-11-23 10:31:19.0242,-1.3,-0.6
2003-11-23 10:29:07.0248,-0.7,-1.1,2003-11-23 10:31:19.0248,-1.3,-0.7
2003-11-23 10:29:07.0254,-0.7,-1,2003-11-23 10:31:19.0254,-1.3,-0.6
2003-11-23 10:29:07.0260,-1,-1,2003-11-23 10:31:19.0260,-1.5,-0.6
2003-11-23 10:29:07.0266,-1.1,-1,2003-11-23 10:31:19.0266,-1.5,-0.6
2003-11-23 10:29:07.0272,-1.2,-1.1,2003-11-23 10:31:19.0272,-1.5,-0.6
2003-11-23 10:29:07.0277,-1.1,-1,2003-11-23 10:31:19.0277,-1.6,-0.7
