TIME_1,RE_1,LE_1,TIME_2,RE_2,LE_2
2005-09-22 13:56:11.0000,0,0,2005-09-22 13:58:23.0000,0,0
2005-09-22 13:56:11.0006,0,-0.4,2005-09-22 13:58:23.0006,-0.1,0
2005-09-22 13:56:11.0012,0,-0.8,2005-09-22 13:58:23.0012,-0.2,0.2
2005-09-22 13:56:11.0018,0.1,-0.9,2005-09-22 13:58:23.0018,-0.1,0.4
2005-09-22 13:56:11.0024,0.3,-0.6,2005-09-22 13:58:23.0024,0.1,0.6
2005-09-22 13:56:11.0030,0.4,-0.3,2005-09-22 13:58:23.0030,0.2,0.6
2005-09-22 13:56:11.0035,0.4,0.1,2005-09-22 13:58:23.0035,0.4,0.6
2005-09-22 13:56:11.0041,0.2,0.2,2005-09-22 13:58:23.0041,0.2,0.3
2005-09-22 13:56:11.0047,0.1,0.2,2005-09-22 13:58:23.0047,0.1,0
2005-09-22 13:56:11.0053,0.1,0.1,2005-09-22 13:58:23.0053,0,-0.2
2005-09-22 13:56:11.0059,0.1,0.1,2005-09-22 13:58:23.0059,-0.2,-0.2
2005-09-22 13:56:11.0065,0,0.1,2005-09-22 13:58:23.0065,-0.5,-0.3
2005-09-22 13:56:11.0071,0.1,0.2,2005-09-22 13:58:23.0071,-0.5,-0.4
2005-09-22 13:56:11.0077,0.3,0.4,2005-09-22 13:58:23.0077,-0.7,-0.5
2005-09-22 13:56:11.0083,0.5,0.4,2005-09-22 13:58:23.0083,-0.6,-0.6
2005-09-22 13:56:11.0089,0.6,0.2,2005-09-22 13:58:23.0089,-0.9,-0.9
2005-09-22 13:56:11.0094,0.4,0,2005-09-22 13:58:23.0094,-1,-1
2005-09-22 13:56:11.0100,0.1,-0.1,2005-09-22 13:58:23.0100,-1,-1.3
2005-09-22 13:56:11.0106,0,-0.3,2005-09-22 13:58:23.0106,-0.9,-1.2
2005-09-22 13:56:11.0112,-0.2,-0.5,2005-09-22 13:58:23.0112,-0.9,-1.2
2005-09-22 13:56:11.0118,-0.4,-0.6,2005-09-22 13:58:23.0118,-0.8,-1
2005-09-22 13:56:11.0124,-0.5,-0.7,2005-09-22 13:58:23.0124,-0.8,-0.8
2005-09-22 13:56:11.0130,-0.7,-0.8,2005-09-22 13:58:23.0130,-0.9,-0.6
2005-09-22 13:56:11.0136,-0.7,-1,2005-09-22 13:58:23.0136,-0.7,-0.3
2005-09-22 13:56:11.0142,-0.6,-1.1,2005-09-22 13:58:23.0142,-0.6,0
2005-09-22 13:56:11.0148,-0.4,-1.1,2005-09-22 13:58:23.0148,-0.4,0.1
2005-09-22 13:56:11.0153,-0.2,-0.9,2005-09-22 13:58:23.0153,-0.2,0.1
2005-09-22 13:56:11.0159,0,-0.7,2005-09-22 13:58:23.0159,0,0
2005-09-22 13:56:11.0165,0,-0.4,2005-09-22 13:58:23.0165,0.2,-0.1
