TIME_1,RE_1,LE_1,TIME_2,RE_2,LE_2
2007-03-10 14:00:44.0000,0,0,2007-03-10 14:02:08.0000,0,0
2007-03-10 14:00:44.0006,-0.1,-0.1,2007-03-10 14:02:08.0006,0.2,0.3
2007-03-10 14:00:44.0012,-0.3,-0.2,2007-03-10 14:02:08.0012,0.1,0.2
2007-03-10 14:00:44.0018,-0.3,-0.3,2007-03-10 14:02:08.0018,0.2,0.2
2007-03-10 14:00:44.0024,-0.2,-0.3,2007-03-10 14:02:08.0024,0.4,0.3
2007-03-10 14:00:44.0030,0,-0.3,2007-03-10 14:02:08.0030,0.6,0.5
2007-03-10 14:00:44.0035,0.1,-0.1,2007-03-10 14:02:08.0035,0.8,0.6
2007-03-10 14:00:44.0041,0.1,0,2007-03-10 14:02:08.0041,0.9,0.7
2007-03-10 14:00:44.0047,0.3,0.2,2007-03-10 14:02:08.0047,1,0.8
2007-03-10 14:00:44.0053,0.3,0.5,2007-03-10 14:02:08.0053,1,0.8
2007-03-10 14:00:44.0059,0.4,0.7,2007-03-10 14:02:08.0059,1.1,0.8
2007-03-10 14:00:44.0065,0.5,0.9,2007-03-10 14:02:08.0065,1.1,0.8
2007-03-10 14:00:44.0071,0.4,1.1,2007-03-10 14:02:08.0071,1,0.7
2007-03-10 14:00:44.0077,0.6,1.1,2007-03-10 14:02:08.0077,1,0.6
2007-03-10 14:00:44.0083,0.7,1.2,2007-03-10 14:02:08.0083,0.9,0.6
2007-03-10 14:00:44.0089,0.6,1.1,2007-03-10 14:02:08.0089,0.6,0.3
2007-03-10 14:00:44.0094,0.4,1,2007-03-10 14:02:08.0094,0.3,0.2
2007-03-10 14:00:44.0100,0.4,1.1,2007-03-10 14:02:08.0100,0,0
2007-03-10 14:00:44.0106,0.3,1.1,2007-03-10 14:02:08.0106,-0.3,-0.1
2007-03-10 14:00:44.0112,0.4,1.2,2007-03-10 14:02:08.0112,-0.4,-0.3
2007-03-10 14:00:44.0118,0.3,1.2,2007-03-10 14:02:08.0118,-0.6,-0.4
2007-03-10 14:00:44.0124,0.4,1.3,2007-03-10 14:02:08.0124,-0.7,-0.4
2007-03-10 14:00:44.0130,0.4,1.1,2007-03-10 14:02:08.0130,-0.7,-0.5
2007-03-10 14:00:44.0136,0.4,1.1,2007-03-10 14:02:08.0136,-0.7,-0.3
2007-03-10 14:00:44.0142,0.4,1.1,2007-03-10 14:02:08.0142,-0.6,-0.3
2007-03-10 14:00:44.0148,0.4,1,2007-03-10 14:02:08.0148,-0.4,-0.2
2007-03-10 14:00:44.0153,0.3,0.8,2007-03-10 14:02:08.0153,-0.2,0
2007-03-10 14:00:44.0159,0.3,0.8,2007-03-10 14:02:08.0159,0,0.2
2007-03-10 14:00:44.0165,0.3,0.5,2007-03-10 14:02:08.0165,0.1,0.3
2007-03-10 14:00:44.0171,0.1,0.2,2007-03-10 14:02:08.0171,0.3,0.5
2007-03-10 14:00:44.0177,-0.2,0.1,2007-03-10 14:02:08.0177,0.3,0.5
2007-03-10 14:00:44.0183,-0.4,0,2007-03-10 14:02:08.0183,0.5,0.7
2007-03-10 14:00:44.0189,-0.6,0,2007-03-10 14:02:08.0189,0.6,0.9
2007-03-10 14:00:44.0195,-0.7,0.1,2007-03-10 14:02:08.0195,0.8,1
2007-03-10 14:00:44.0201,-0.7,0.2,2007-03-10 14:02:08.0201,0.9,1.1
2007-03-10 14:00:44.0207,-0.7,0.2,2007-03-10 14:02:08.0207,1.1,1.1
2007-03-10 14:00:44.0212,-0.6,0.3,2007-03-10 14:02:08.0212,1.1,1.2
2007-03-10 14:00:44.0218,-0.5,0.4,2007-03-10 14:02:08.0218,1.2,1.1
2007-03-10 14:00:44.0224,-0.5,0.3,2007-03-10 14:02:08.0224,1.3,1
2007-03-10 14:00:44.0230,-0.3,0.3,2007-03-10 14:02:08.0230,1.3,0.8
2007-03-10 14:00:44.0236,-0.3,0.4,2007-03-10 14:02:08.0236,1.3,0.7
2007-03-10 14:00:44.0242,-0.3,0.3,2007-03-10 14:02:08.0242,1.4,0.6
2007-03-10 14:00:44.0248,-0.3,0.4,2007-03-10 14:02:08.0248,1.4,0.4
2007-03-10 14:00:44.0254,-0.3,0.3,2007-03-10 14:02:08.0254,1.2,0.1
2007-03-10 14:00:44.0260,-0.6,0.1,2007-03-10 14:02:08.0260,0.9,0.1
2007-03-10 14:00:44.0266,-0.7,0,2007-03-10 14:02:08.0266,0.7,0.1
2007-03-10 14:00:44.0272,-0.6,-0.1,2007-03-10 14:02:08.0272,0.7,0
2007-03-10 14:00:44.0277,-0.6,-0.1,2007-03-10 14:02:08.0277,0.7,0.2
2007-03-10 14:00:44.0283,-0.5,0,2007-03-10 14:02:08.0283,0.8,0.2
2007-03-10 14:00:44.0289,-0.6,0.1,2007-03-10 14:02:08.0289,0.7,0.3
2007-03-10 14:00:44.0295,-0.5,0.3,2007-03-10 14:02:08.0295,0.8,0.3
2007-03-10 14:00:44.0301,-0.5,0.4,2007-03-10 14:02:08.0301,0.9,0.5
2007-03-10 14:00:44.0307,-0.3,0.6,2007-03-10 14:02:08.0307,1,0.5
2007-03-10 14:00:44.0313,-0.3,0.8,2007-03-10 14:02:08.0313,1,0.5
2007-03-10 14:00:44.0319,-0.1,1.1,2007-03-10 14:02:08.0319,1,0.5
2007-03-10 14:00:44.0325,0,1.4,2007-03-10 14:02:08.0325,0.9,0.5
2007-03-10 14:00:44.0331,0.2,1.7,2007-03-10 14:02:08.0331,1,0.4
2007-03-10 14:00:44.0336,0.3,1.8,2007-03-10 14:02:08.0336,1.1,0.4
2007-03-10 14:00:44.0342,0.3,1.9,2007-03-10 14:02:08.0342,0.9,0.4
2007-03-10 14:00:44.0348,0.5,2.1,2007-03-10 14:02:08.0348,0.9,0.5
2007-03-10 14:00:44.0354,0.6,2.1,2007-03-10 14:02:08.0354,1,0.8
2007-03-10 14:00:44.0360,0.7,2.2,2007-03-10 14:02:08.0360,1.3,1.1
2007-03-10 14:00:44.0366,0.9,2.3,2007-03-10 14:02:08.0366,1.8,1.4
2007-03-10 14:00:44.0372,1.1,2.4,2007-03-10 14:02:08.0372,2.2,1.7
2007-03-10 14:00:44.0378,1.2,2.5,2007-03-10 14:02:08.0378,2.7,2
2007-03-10 14:00:44.0384,1.3,2.5,2007-03-10 14:02:08.0384,3,2.1
2007-03-10 14:00:44.0390,1.4,2.5,2007-03-10 14:02:08.0390,3.4,2.3
2007-03-10 14:00:44.0395,1.6,2.5,2007-03-10 14:02:08.0395,3.7,2.7
2007-03-10 14:00:44.0401,1.6,2.5,2007-03-10 14:02:08.0401,4,2.9
2007-03-10 14:00:44.0407,1.7,2.7,2007-03-10 14:02:08.0407,4.2,3.1
2007-03-10 14:00:44.0413,1.9,2.8,2007-03-10 14:02:08.0413,4.3,3.4
2007-03-10 14:00:44.0419,1.9,2.9,2007-03-10 14:02:08.0419,4.6,3.6
2007-03-10 14:00:44.0425,1.7,3,2007-03-10 14:02:08.0425,4.5,3.8
2007-03-10 14:00:44.0431,1.7,3.2,2007-03-10 14:02:08.0431,4.6,3.8
2007-03-10 14:00:44.0437,1.6,3.4,2007-03-10 14:02:08.0437,4.7,4.1
2007-03-10 14:00:44.0443,1.6,3.7,2007-03-10 14:02:08.0443,4.9,4.3
