TIME_1,RE_1,LE_1,TIME_2,RE_2,LE_2
2017-01-23 09:11:34.0000,0,0,2017-01-23 09:20:40.0000,0,0
2017-01-23 09:11:34.0006,-0.1,-0.2,2017-01-23 09:20:40.0006,0,-0.6
2017-01-23 09:11:34.0012,-0.4,-0.2,2017-01-23 09:20:40.0012,0,-0.6
2017-01-23 09:11:34.0018,-0.4,0,2017-01-23 09:20:40.0018,0.1,-0.5
2017-01-23 09:11:34.0024,-0.5,0.1,2017-01-23 09:20:40.0024,0.2,-0.6
2017-01-23 09:11:34.0030,-0.5,0.3,2017-01-23 09:20:40.0030,0.3,-0.6
2017-01-23 09:11:34.0035,-0.7,0.3,2017-01-23 09:20:40.0035,0.5,-0.7
2017-01-23 09:11:34.0041,-0.7,0.3,2017-01-23 09:20:40.0041,0.7,-0.7
2017-01-23 09:11:34.0047,-0.6,0.4,2017-01-23 09:20:40.0047,0.9,-0.6
2017-01-23 09:11:34.0053,-0.5,0.4,2017-01-23 09:20:40.0053,0.9,-0.6
2017-01-23 09:11:34.0059,-0.4,0.5,2017-01-23 09:20:40.0059,0.8,-0.5
2017-01-23 09:11:34.0065,-0.6,0.6,2017-01-23 09:20:40.0065,0.7,-0.3
2017-01-23 09:11:34.0071,-0.7,0.6,2017-01-23 09:20:40.0071,0.5,-0.2
2017-01-23 09:11:34.0077,-0.6,0.7,2017-01-23 09:20:40.0077,0.2,-0.1
2017-01-23 09:11:34.0083,-0.6,0.8,2017-01-23 09:20:40.0083,0.1,0
2017-01-23 09:11:34.0089,-0.9,0.7,2017-01-23 09:20:40.0089,0,-0.1
2017-01-23 09:11:34.0094,-1.5,0.5,2017-01-23 09:20:40.0094,-0.4,-0.2
2017-01-23 09:11:34.0100,-1.7,0.6,2017-01-23 09:20:40.0100,-0.7,-0.1
2017-01-23 09:11:34.0106,-1.7,0.8,2017-01-23 09:20:40.0106,-0.9,0
2017-01-23 09:11:34.0112,-1.5,1,2017-01-23 09:20:40.0112,-1,-0.1
2017-01-23 09:11:34.0118,-1.4,1.1,2017-01-23 09:20:40.0118,-1,-0.1
2017-01-23 09:11:34.0124,-1.5,1.3,2017-01-23 09:20:40.0124,-0.7,0
2017-01-23 09:11:34.0130,-1.4,1.5,2017-01-23 09:20:40.0130,-0.4,-0.2
2017-01-23 09:11:34.0136,-1.1,1.7,2017-01-23 09:20:40.0136,-0.1,-0.3
2017-01-23 09:11:34.0142,-0.9,1.9,2017-01-23 09:20:40.0142,0.1,-0.4
2017-01-23 09:11:34.0148,-0.8,1.9,2017-01-23 09:20:40.0148,0.4,-0.4
2017-01-23 09:11:34.0153,-0.7,2,2017-01-23 09:20:40.0153,0.6,-0.3
