TIME_1,RE_1,LE_1
2005-12-10 09:44:22.0000,0,0
2005-12-10 09:44:22.0006,-0.1,0.1
2005-12-10 09:44:22.0012,-0.4,0
2005-12-10 09:44:22.0018,-0.8,-0.1
2005-12-10 09:44:22.0024,-1.2,-0.1
2005-12-10 09:44:22.0030,-1.4,-0.2
2005-12-10 09:44:22.0035,-1.8,-0.3
2005-12-10 09:44:22.0041,-1.8,-0.4
2005-12-10 09:44:22.0047,-1.9,-0.4
2005-12-10 09:44:22.0053,-1.7,-0.4
2005-12-10 09:44:22.0059,-1.6,-0.3
2005-12-10 09:44:22.0065,-1.5,-0.3
2005-12-10 09:44:22.0071,-1.4,-0.3
2005-12-10 09:44:22.0077,-1.3,-0.2
2005-12-10 09:44:22.0083,-1.3,-0.3
2005-12-10 09:44:22.0089,-1.4,-0.4
2005-12-10 09:44:22.0094,-1.7,-0.6
2005-12-10 09:44:22.0100,-1.9,-0.6
2005-12-10 09:44:22.0106,-2.1,-0.6
2005-12-10 09:44:22.0112,-2.2,-0.5
2005-12-10 09:44:22.0118,-2.1,-0.4
2005-12-10 09:44:22.0124,-2.1,-0.1
2005-12-10 09:44:22.0130,-1.9,0
2005-12-10 09:44:22.0136,-1.7,0.1
2005-12-10 09:44:22.0142,-1.6,0.2
2005-12-10 09:44:22.0148,-1.4,0.2
2005-12-10 09:44:22.0153,-1.3,0.2
2005-12-10 09:44:22.0159,-1.2,0.1
2005-12-10 09:44:22.0165,-1.1,0.1
2005-12-10 09:44:22.0171,-1.1,0
2005-12-10 09:44:22.0177,-1.4,-0.1
2005-12-10 09:44:22.0183,-1.5,-0.1
2005-12-10 09:44:22.0189,-1.5,0
2005-12-10 09:44:22.0195,-1.4,0.1
2005-12-10 09:44:22.0201,-1.4,0.2
2005-12-10 09:44:22.0207,-1.5,0.3
2005-12-10 09:44:22.0212,-1.6,0.4
2005-12-10 09:44:22.0218,-1.6,0.4
2005-12-10 09:44:22.0224,-1.8,0.4
2005-12-10 09:44:22.0230,-2.1,0.3
2005-12-10 09:44:22.0236,-2.1,0.2
2005-12-10 09:44:22.0242,-2.1,0.2
2005-12-10 09:44:22.0248,-2.2,0.3
2005-12-10 09:44:22.0254,-2.3,0.2
2005-12-10 09:44:22.0260,-2.5,0.1
2005-12-10 09:44:22.0266,-2.7,0.1
2005-12-10 09:44:22.0272,-2.9,0.2
2005-12-10 09:44:22.0277,-3,0.3
2005-12-10 09:44:22.0283,-3,0.4
2005-12-10 09:44:22.0289,-2.8,0.4
2005-12-10 09:44:22.0295,-2.7,0.6
2005-12-10 09:44:22.0301,-2.6,0.7
2005-12-10 09:44:22.0307,-2.4,0.7
2005-12-10 09:44:22.0313,-2.2,0.9
2005-12-10 09:44:22.0319,-2.1,0.8
2005-12-10 09:44:22.0325,-1.8,0.9
2005-12-10 09:44:22.0331,-1.6,0.9
2005-12-10 09:44:22.0336,-1.4,0.7
2005-12-10 09:44:22.0342,-1.3,0.6
2005-12-10 09:44:22.0348,-1.3,0.7
2005-12-10 09:44:22.0354,-1.2,0.9
2005-12-10 09:44:22.0360,-1.3,1
2005-12-10 09:44:22.0366,-1.3,1.1
2005-12-10 09:44:22.0372,-1.4,1.2
2005-12-10 09:44:22.0378,-1.3,1.2
2005-12-10 09:44:22.0384,-1.1,1.4
2005-12-10 09:44:22.0390,-0.7,1.6
2005-12-10 09:44:22.0395,-0.6,1.7
2005-12-10 09:44:22.0401,-0.5,1.9
2005-12-10 09:44:22.0407,-0.4,2.1
2005-12-10 09:44:22.0413,-0.6,2.1
2005-12-10 09:44:22.0419,-0.6,2
2005-12-10 09:44:22.0425,-0.9,1.8
2005-12-10 09:44:22.0431,-1.3,1.7
2005-12-10 09:44:22.0437,-1.5,1.5
2005-12-10 09:44:22.0443,-1.6,1.4
2005-12-10 09:44:22.0449,-1.8,1.5
2005-12-10 09:44:22.0455,-1.9,1.6
2005-12-10 09:44:22.0460,-1.9,1.5
2005-12-10 09:44:22.0466,-1.8,1.6
2005-12-10 09:44:22.0472,-1.7,1.6
2005-12-10 09:44:22.0478,-1.7,1.6
2005-12-10 09:44:22.0484,-1.6,1.7
2005-12-10 09:44:22.0490,-1.4,1.8
2005-12-10 09:44:22.0496,-1.3,1.7
2005-12-10 09:44:22.0502,-1.2,1.8
2005-12-10 09:44:22.0508,-1.1,1.7
2005-12-10 09:44:22.0514,-1.2,1.7
2005-12-10 09:44:22.0519,-1.2,1.7
2005-12-10 09:44:22.0525,-1.1,1.8
2005-12-10 09:44:22.0531,-1.1,1.9
2005-12-10 09:44:22.0537,-1.2,2
2005-12-10 09:44:22.0543,-1.2,2.1
2005-12-10 09:44:22.0549,-1.3,2.1
2005-12-10 09:44:22.0555,-1.4,2.1
2005-12-10 09:44:22.0561,-1.5,2.2
2005-12-10 09:44:22.0567,-1.3,2.1
2005-12-10 09:44:22.0573,-1.1,2.2
2005-12-10 09:44:22.0578,-1.1,2.2
2005-12-10 09:44:22.0584,-0.9,2.1
2005-12-10 09:44:22.0590,-1,2
2005-12-10 09:44:22.0596,-0.9,1.9
2005-12-10 09:44:22.0602,-0.9,1.9
2005-12-10 09:44:22.0608,-0.7,1.9
2005-12-10 09:44:22.0614,-0.7,2
2005-12-10 09:44:22.0620,-0.9,2
2005-12-10 09:44:22.0626,-1,2.1
2005-12-10 09:44:22.0632,-1.3,2.1
2005-12-10 09:44:22.0637,-1.4,2.1
2005-12-10 09:44:22.0643,-1.5,2.1
2005-12-10 09:44:22.0649,-1.5,2.2
2005-12-10 09:44:22.0655,-1.5,2.1
2005-12-10 09:44:22.0661,-1.5,2.2
2005-12-10 09:44:22.0667,-1.5,2.2
2005-12-10 09:44:22.0673,-1.6,2.1
2005-12-10 09:44:22.0679,-1.8,2
2005-12-10 09:44:22.0685,-1.8,2.1
2005-12-10 09:44:22.0691,-1.7,2.1
2005-12-10 09:44:22.0697,-1.6,2.1
2005-12-10 09:44:22.0702,-1.4,2.1
2005-12-10 09:44:22.0708,-1.3,2.2
2005-12-10 09:44:22.0714,-1.1,2.1
2005-12-10 09:44:22.0720,-0.8,2.1
2005-12-10 09:44:22.0726,-0.5,2.3
2005-12-10 09:44:22.0732,-0.3,2.3
2005-12-10 09:44:22.0738,-0.1,2.4
2005-12-10 09:44:22.0744,0,2.3
2005-12-10 09:44:22.0750,0,2.4
2005-12-10 09:44:22.0756,0,2.1
2005-12-10 09:44:22.0761,-0.1,1.8
2005-12-10 09:44:22.0767,-0.2,1.7
2005-12-10 09:44:22.0773,-0.3,1.7
2005-12-10 09:44:22.0779,-0.5,1.9
2005-12-10 09:44:22.0785,-0.5,2.1
2005-12-10 09:44:22.0791,-0.6,2.2
2005-12-10 09:44:22.0797,-0.6,2.3
2005-12-10 09:44:22.0803,-0.6,2.5
2005-12-10 09:44:22.0809,-0.9,2.5
2005-12-10 09:44:22.0815,-1,2.4
2005-12-10 09:44:22.0820,-1.2,2.4
2005-12-10 09:44:22.0826,-1.2,2.3
2005-12-10 09:44:22.0832,-1.3,2.2
2005-12-10 09:44:22.0838,-1.5,2
2005-12-10 09:44:22.0844,-1.8,1.9
2005-12-10 09:44:22.0850,-2,1.8
2005-12-10 09:44:22.0856,-2,2
2005-12-10 09:44:22.0862,-2.1,1.9
2005-12-10 09:44:22.0868,-2.1,1.8
2005-12-10 09:44:22.0874,-2,1.9
2005-12-10 09:44:22.0880,-1.9,1.9
2005-12-10 09:44:22.0885,-1.8,1.9
2005-12-10 09:44:22.0891,-1.8,1.9
2005-12-10 09:44:22.0897,-1.8,1.9
2005-12-10 09:44:22.0903,-1.8,2.1
2005-12-10 09:44:22.0909,-1.6,2.1
2005-12-10 09:44:22.0915,-1.4,2.4
2005-12-10 09:44:22.0921,-1.4,2.3
2005-12-10 09:44:22.0927,-1.5,2.3
2005-12-10 09:44:22.0933,-1.5,2.3
2005-12-10 09:44:22.0939,-1.6,2.3
2005-12-10 09:44:22.0944,-1.6,2.3
2005-12-10 09:44:22.0950,-1.7,2.2
2005-12-10 09:44:22.0956,-1.8,2.1
2005-12-10 09:44:22.0962,-1.9,1.9
2005-12-10 09:44:22.0968,-2,1.7
2005-12-10 09:44:22.0974,-2.1,1.5
2005-12-10 09:44:22.0980,-2.1,1.6
2005-12-10 09:44:22.0986,-2.3,1.6
2005-12-10 09:44:22.0992,-2.3,1.7
2005-12-10 09:44:22.0998,-2.4,1.8
2005-12-10 09:44:22.1003,-2.4,1.7
2005-12-10 09:44:22.1009,-2.6,1.7
2005-12-10 09:44:22.1015,-2.7,1.7
2005-12-10 09:44:22.1021,-2.8,1.8
2005-12-10 09:44:22.1027,-2.9,1.8
2005-12-10 09:44:22.1033,-2.9,1.8
2005-12-10 09:44:22.1039,-3.2,1.8
2005-12-10 09:44:22.1045,-3.1,1.8
2005-12-10 09:44:22.1051,-3.1,1.8
2005-12-10 09:44:22.1057,-3.1,1.9
2005-12-10 09:44:22.1062,-2.9,2
2005-12-10 09:44:22.1068,-2.8,2.1
2005-12-10 09:44:22.1074,-2.8,2.1
2005-12-10 09:44:22.1080,-2.8,2.2
2005-12-10 09:44:22.1086,-2.7,2.1
2005-12-10 09:44:22.1092,-2.8,2
2005-12-10 09:44:22.1098,-3,2.1
2005-12-10 09:44:22.1104,-3,2.1
2005-12-10 09:44:22.1110,-3,2.1
2005-12-10 09:44:22.1116,-2.9,2.1
2005-12-10 09:44:22.1122,-2.8,2.2
2005-12-10 09:44:22.1127,-2.6,2.2
2005-12-10 09:44:22.1133,-2.5,2.3
2005-12-10 09:44:22.1139,-2.4,2.3
2005-12-10 09:44:22.1145,-2.3,2.4
2005-12-10 09:44:22.1151,-2.3,2.5
2005-12-10 09:44:22.1157,-2.3,2.4
2005-12-10 09:44:22.1163,-2.3,2.4
2005-12-10 09:44:22.1169,-2.5,2.3
2005-12-10 09:44:22.1175,-2.7,2.2
2005-12-10 09:44:22.1181,-3,2.2
2005-12-10 09:44:22.1186,-3.1,2.2
2005-12-10 09:44:22.1192,-3.2,2.4
2005-12-10 09:44:22.1198,-3.2,2.5
2005-12-10 09:44:22.1204,-3.2,2.6
2005-12-10 09:44:22.1210,-3.4,2.8
2005-12-10 09:44:22.1216,-3.4,2.8
