TIME_1,RE_1,LE_1,TIME_2,RE_2,LE_2,TIME_3,RE_3,LE_3
2014-03-20 13:57:39.0000,0,0,2014-03-20 13:59:12.0000,0,0,2014-03-20 14:01:58.0000,0,0
2014-03-20 13:57:39.0006,0,-0.2,2014-03-20 13:59:12.0006,0,0.1,2014-03-20 14:01:58.0006,-0.1,-0.1
2014-03-20 13:57:39.0012,-0.1,-0.2,2014-03-20 13:59:12.0012,-0.2,0.4,2014-03-20 14:01:58.0012,-0.3,-0.2
2014-03-20 13:57:39.0018,-0.2,-0.2,2014-03-20 13:59:12.0018,-0.2,0.4,2014-03-20 14:01:58.0018,-0.4,0
2014-03-20 13:57:39.0024,-0.2,-0.1,2014-03-20 13:59:12.0024,-0.1,0.5,2014-03-20 14:01:58.0024,-0.3,0
2014-03-20 13:57:39.0030,0,0,2014-03-20 13:59:12.0030,-0.1,0.6,2014-03-20 14:01:58.0030,-0.2,0.3
2014-03-20 13:57:39.0035,0.1,0.1,2014-03-20 13:59:12.0035,-0.1,0.6,2014-03-20 14:01:58.0035,0,0.6
2014-03-20 13:57:39.0041,0.3,0,2014-03-20 13:59:12.0041,0,0.5,2014-03-20 14:01:58.0041,0.1,0.6
2014-03-20 13:57:39.0047,0.2,0.1,2014-03-20 13:59:12.0047,0,0.3,2014-03-20 14:01:58.0047,0.3,0.6
2014-03-20 13:57:39.0053,0.1,0.1,2014-03-20 13:59:12.0053,0.1,0.2,2014-03-20 14:01:58.0053,0.4,0.5
2014-03-20 13:57:39.0059,0.2,0.2,2014-03-20 13:59:12.0059,0.2,0.1,2014-03-20 14:01:58.0059,0.5,0.6
2014-03-20 13:57:39.0065,0.4,0.3,2014-03-20 13:59:12.0065,0.3,0.1,2014-03-20 14:01:58.0065,0.6,0.6
2014-03-20 13:57:39.0071,0.4,0.3,2014-03-20 13:59:12.0071,0.4,0.1,2014-03-20 14:01:58.0071,0.6,0.5
2014-03-20 13:57:39.0077,0.3,0.3,2014-03-20 13:59:12.0077,0.1,0,2014-03-20 14:01:58.0077,0.5,0.5
2014-03-20 13:57:39.0083,0.2,0.3,2014-03-20 13:59:12.0083,0,0,2014-03-20 14:01:58.0083,0.5,0.4
2014-03-20 13:57:39.0089,0.1,0.3,2014-03-20 13:59:12.0089,-0.1,-0.1,2014-03-20 14:01:58.0089,0.3,0.2
2014-03-20 13:57:39.0094,-0.2,0.2,2014-03-20 13:59:12.0094,-0.4,-0.1,2014-03-20 14:01:58.0094,0,0.1
2014-03-20 13:57:39.0100,-0.4,0.2,2014-03-20 13:59:12.0100,-0.6,-0.2,2014-03-20 14:01:58.0100,0,0.1
2014-03-20 13:57:39.0106,-0.6,0.2,2014-03-20 13:59:12.0106,-0.6,-0.1,2014-03-20 14:01:58.0106,0,0.2
2014-03-20 13:57:39.0112,-0.7,0.1,2014-03-20 13:59:12.0112,-0.6,-0.1,2014-03-20 14:01:58.0112,0.1,0.3
2014-03-20 13:57:39.0118,-0.6,0.2,2014-03-20 13:59:12.0118,-0.5,0,2014-03-20 14:01:58.0118,0.3,0.5
2014-03-20 13:57:39.0124,-0.7,0.1,2014-03-20 13:59:12.0124,-0.6,-0.1,2014-03-20 14:01:58.0124,0.4,0.7
2014-03-20 13:57:39.0130,-0.8,0,2014-03-20 13:59:12.0130,-0.4,-0.1,2014-03-20 14:01:58.0130,0.4,0.8
2014-03-20 13:57:39.0136,-1,0.2,2014-03-20 13:59:12.0136,-0.4,-0.2,2014-03-20 14:01:58.0136,0.2,0.8
2014-03-20 13:57:39.0142,-1.1,0.4,2014-03-20 13:59:12.0142,-0.4,-0.2,2014-03-20 14:01:58.0142,0.3,0.8
2014-03-20 13:57:39.0148,-0.9,0.6,2014-03-20 13:59:12.0148,-0.3,-0.1,2014-03-20 14:01:58.0148,0.3,0.6
2014-03-20 13:57:39.0153,-0.9,0.7,2014-03-20 13:59:12.0153,-0.3,0,2014-03-20 14:01:58.0153,0.3,0.7
2014-03-20 13:57:39.0159,-0.9,0.9,2014-03-20 13:59:12.0159,-0.4,0.2,2014-03-20 14:01:58.0159,0.3,0.7
2014-03-20 13:57:39.0165,-1.1,0.9,2014-03-20 13:59:12.0165,-0.5,0.3,2014-03-20 14:01:58.0165,0.3,0.7
2014-03-20 13:57:39.0171,-1.2,0.9,2014-03-20 13:59:12.0171,-0.6,0.2,2014-03-20 14:01:58.0171,0.1,0.5
2014-03-20 13:57:39.0177,-1.5,0.9,2014-03-20 13:59:12.0177,-0.8,0.1,2014-03-20 14:01:58.0177,-0.1,0.4
2014-03-20 13:57:39.0183,-1.5,0.9,2014-03-20 13:59:12.0183,-0.9,0,2014-03-20 14:01:58.0183,-0.4,0.3
2014-03-20 13:57:39.0189,-1.4,0.8,2014-03-20 13:59:12.0189,-0.8,-0.1,2014-03-20 14:01:58.0189,-0.5,0.4
2014-03-20 13:57:39.0195,-1.2,0.8,2014-03-20 13:59:12.0195,-0.8,-0.2,2014-03-20 14:01:58.0195,-0.5,0.4
2014-03-20 13:57:39.0201,-1,0.7,2014-03-20 13:59:12.0201,-0.9,-0.3,2014-03-20 14:01:58.0201,-0.4,0.2
2014-03-20 13:57:39.0207,-0.9,0.6,2014-03-20 13:59:12.0207,-0.8,-0.2,2014-03-20 14:01:58.0207,-0.5,0
2014-03-20 13:57:39.0212,-1,0.5,2014-03-20 13:59:12.0212,-0.8,-0.2,2014-03-20 14:01:58.0212,-0.6,0
2014-03-20 13:57:39.0218,-1.1,0.2,2014-03-20 13:59:12.0218,-0.6,-0.1,2014-03-20 14:01:58.0218,-0.6,0
2014-03-20 13:57:39.0224,-1.1,0.2,2014-03-20 13:59:12.0224,-0.6,-0.1,2014-03-20 14:01:58.0224,-0.7,0
2014-03-20 13:57:39.0230,-0.9,0.2,2014-03-20 13:59:12.0230,-0.5,0,2014-03-20 14:01:58.0230,-0.7,0.1
2014-03-20 13:57:39.0236,-0.9,0.2,2014-03-20 13:59:12.0236,-0.4,0,2014-03-20 14:01:58.0236,-0.7,0.2
2014-03-20 13:57:39.0242,-0.9,0.1,2014-03-20 13:59:12.0242,-0.4,0,2014-03-20 14:01:58.0242,-0.7,0.1
2014-03-20 13:57:39.0248,-1,0.1,2014-03-20 13:59:12.0248,-0.4,0,2014-03-20 14:01:58.0248,-0.6,0
2014-03-20 13:57:39.0254,-1.1,0,2014-03-20 13:59:12.0254,-0.5,0,2014-03-20 14:01:58.0254,-0.6,-0.3
2014-03-20 13:57:39.0260,-1.5,-0.1,2014-03-20 13:59:12.0260,-0.8,-0.2,2014-03-20 14:01:58.0260,-1,-0.5
2014-03-20 13:57:39.0266,-1.7,-0.3,2014-03-20 13:59:12.0266,-1,-0.4,2014-03-20 14:01:58.0266,-1,-0.6
2014-03-20 13:57:39.0272,-1.8,-0.3,2014-03-20 13:59:12.0272,-1.1,-0.4,2014-03-20 14:01:58.0272,-1.1,-0.6
2014-03-20 13:57:39.0277,-2,-0.2,2014-03-20 13:59:12.0277,-1.2,-0.5,2014-03-20 14:01:58.0277,-1.1,-0.7
2014-03-20 13:57:39.0283,-2,-0.2,2014-03-20 13:59:12.0283,-1.2,-0.5,2014-03-20 14:01:58.0283,-1.2,-0.8
2014-03-20 13:57:39.0289,-1.9,-0.1,2014-03-20 13:59:12.0289,-1.2,-0.6,2014-03-20 14:01:58.0289,-1.1,-0.9
2014-03-20 13:57:39.0295,-2,0,2014-03-20 13:59:12.0295,-1,-0.7,2014-03-20 14:01:58.0295,-1.1,-1
2014-03-20 13:57:39.0301,-2.1,0,2014-03-20 13:59:12.0301,-0.9,-0.8,2014-03-20 14:01:58.0301,-1,-1
2014-03-20 13:57:39.0307,-2.1,0,2014-03-20 13:59:12.0307,-0.8,-0.8,2014-03-20 14:01:58.0307,-0.8,-0.9
2014-03-20 13:57:39.0313,-2.1,0,2014-03-20 13:59:12.0313,-0.9,-0.8,2014-03-20 14:01:58.0313,-0.6,-0.8
2014-03-20 13:57:39.0319,-2.1,0,2014-03-20 13:59:12.0319,-1,-0.8,2014-03-20 14:01:58.0319,-0.5,-0.8
2014-03-20 13:57:39.0325,-2.2,-0.1,2014-03-20 13:59:12.0325,-1.1,-0.9,2014-03-20 14:01:58.0325,-0.4,-0.8
2014-03-20 13:57:39.0331,-2.3,0,2014-03-20 13:59:12.0331,-1.1,-1,2014-03-20 14:01:58.0331,-0.6,-0.9
2014-03-20 13:57:39.0336,-2.3,-0.2,2014-03-20 13:59:12.0336,-1.3,-1.1,2014-03-20 14:01:58.0336,-0.6,-1
2014-03-20 13:57:39.0342,-2.6,-0.3,2014-03-20 13:59:12.0342,-1.8,-1.2,2014-03-20 14:01:58.0342,-1.1,-1
2014-03-20 13:57:39.0348,-2.6,-0.3,2014-03-20 13:59:12.0348,-1.9,-1.2,2014-03-20 14:01:58.0348,-1.2,-1
2014-03-20 13:57:39.0354,-2.6,-0.3,2014-03-20 13:59:12.0354,-2,-1,2014-03-20 14:01:58.0354,-1.3,-1
2014-03-20 13:57:39.0360,-2.7,-0.2,2014-03-20 13:59:12.0360,-1.9,-0.8,2014-03-20 14:01:58.0360,-1.3,-0.9
2014-03-20 13:57:39.0366,-2.8,-0.1,2014-03-20 13:59:12.0366,-1.8,-0.7,2014-03-20 14:01:58.0366,-1.4,-1.1
2014-03-20 13:57:39.0372,-2.8,0,2014-03-20 13:59:12.0372,-1.7,-0.6,2014-03-20 14:01:58.0372,-1.4,-1
2014-03-20 13:57:39.0378,-2.7,0.1,2014-03-20 13:59:12.0378,-1.6,-0.3,2014-03-20 14:01:58.0378,-1.5,-1
2014-03-20 13:57:39.0384,-2.5,0.1,2014-03-20 13:59:12.0384,-1.4,-0.3,2014-03-20 14:01:58.0384,-1.5,-1
2014-03-20 13:57:39.0390,-2.5,0.2,2014-03-20 13:59:12.0390,-1.2,-0.2,2014-03-20 14:01:58.0390,-1.4,-0.7
2014-03-20 13:57:39.0395,-2.3,0.4,2014-03-20 13:59:12.0395,-1.2,-0.3,2014-03-20 14:01:58.0395,-1.3,-0.5
2014-03-20 13:57:39.0401,-2.1,0.6,2014-03-20 13:59:12.0401,-1.1,-0.2,2014-03-20 14:01:58.0401,-1.1,-0.4
2014-03-20 13:57:39.0407,-2,0.6,2014-03-20 13:59:12.0407,-1.1,-0.3,2014-03-20 14:01:58.0407,-1.2,-0.3
2014-03-20 13:57:39.0413,-1.8,0.6,2014-03-20 13:59:12.0413,-1,-0.2,2014-03-20 14:01:58.0413,-1.1,-0.3
2014-03-20 13:57:39.0419,-1.8,0.6,2014-03-20 13:59:12.0419,-1,-0.3,2014-03-20 14:01:58.0419,-1.1,-0.1
2014-03-20 13:57:39.0425,-1.8,0.5,2014-03-20 13:59:12.0425,-1.2,-0.6,2014-03-20 14:01:58.0425,-1.3,-0.1
2014-03-20 13:57:39.0431,-1.8,0.5,2014-03-20 13:59:12.0431,-1.3,-0.7,2014-03-20 14:01:58.0431,-1.5,0
2014-03-20 13:57:39.0437,-1.5,0.7,2014-03-20 13:59:12.0437,-1.2,-0.7,2014-03-20 14:01:58.0437,-1.5,0
2014-03-20 13:57:39.0443,-1.5,0.7,2014-03-20 13:59:12.0443,-1.2,-0.5,2014-03-20 14:01:58.0443,-1.4,-0.1
2014-03-20 13:57:39.0449,-1.5,0.9,2014-03-20 13:59:12.0449,-1.1,-0.4,2014-03-20 14:01:58.0449,-1.3,0
2014-03-20 13:57:39.0455,-1.4,0.9,2014-03-20 13:59:12.0455,-1,-0.3,2014-03-20 14:01:58.0455,-1,-0.1
2014-03-20 13:57:39.0460,-1.3,1,2014-03-20 13:59:12.0460,-1,0,2014-03-20 14:01:58.0460,-0.9,-0.2
2014-03-20 13:57:39.0466,-1.1,1,2014-03-20 13:59:12.0466,-0.9,0,2014-03-20 14:01:58.0466,-0.7,-0.2
2014-03-20 13:57:39.0472,-0.9,1.1,2014-03-20 13:59:12.0472,-0.8,0.1,2014-03-20 14:01:58.0472,-0.5,0
2014-03-20 13:57:39.0478,-0.9,1.1,2014-03-20 13:59:12.0478,-0.7,0.2,2014-03-20 14:01:58.0478,-0.4,0.2
2014-03-20 13:57:39.0484,-0.8,1.2,2014-03-20 13:59:12.0484,-0.7,0.1,2014-03-20 14:01:58.0484,-0.2,0.6
2014-03-20 13:57:39.0490,-0.7,1.3,2014-03-20 13:59:12.0490,-0.6,0.1,2014-03-20 14:01:58.0490,-0.2,0.8
2014-03-20 13:57:39.0496,-0.7,1.4,2014-03-20 13:59:12.0496,-0.4,0.2,2014-03-20 14:01:58.0496,-0.1,1
2014-03-20 13:57:39.0502,-0.6,1.7,2014-03-20 13:59:12.0502,-0.3,0.1,2014-03-20 14:01:58.0502,0,1
2014-03-20 13:57:39.0508,-0.8,1.6,2014-03-20 13:59:12.0508,-0.3,0,2014-03-20 14:01:58.0508,-0.1,0.9
2014-03-20 13:57:39.0514,-0.9,1.7,2014-03-20 13:59:12.0514,-0.4,0,2014-03-20 14:01:58.0514,0,0.8
2014-03-20 13:57:39.0519,-0.9,1.8,2014-03-20 13:59:12.0519,-0.3,0,2014-03-20 14:01:58.0519,0,0.7
2014-03-20 13:57:39.0525,-0.9,1.9,2014-03-20 13:59:12.0525,-0.2,0,2014-03-20 14:01:58.0525,0.1,0.5
2014-03-20 13:57:39.0531,-1,1.8,2014-03-20 13:59:12.0531,0,0,2014-03-20 14:01:58.0531,0.1,0.4
2014-03-20 13:57:39.0537,-1.1,1.9,2014-03-20 13:59:12.0537,0.3,0,2014-03-20 14:01:58.0537,0.2,0.4
2014-03-20 13:57:39.0543,-1.1,2,2014-03-20 13:59:12.0543,0.5,0,2014-03-20 14:01:58.0543,0.2,0.5
2014-03-20 13:57:39.0549,-1,2,2014-03-20 13:59:12.0549,0.6,0,2014-03-20 14:01:58.0549,0.1,0.7
2014-03-20 13:57:39.0555,-0.8,2.1,2014-03-20 13:59:12.0555,0.9,0.1,2014-03-20 14:01:58.0555,0.1,0.7
2014-03-20 13:57:39.0561,-0.8,2.1,2014-03-20 13:59:12.0561,0.9,0.4,2014-03-20 14:01:58.0561,0,0.6
2014-03-20 13:57:39.0567,-0.9,2.1,2014-03-20 13:59:12.0567,1,0.6,2014-03-20 14:01:58.0567,0,0.6
2014-03-20 13:57:39.0573,-0.8,2.2,2014-03-20 13:59:12.0573,1,0.8,2014-03-20 14:01:58.0573,0,0.7
2014-03-20 13:57:39.0578,-0.7,2.3,2014-03-20 13:59:12.0578,1,1,2014-03-20 14:01:58.0578,0,0.7
2014-03-20 13:57:39.0584,-0.7,2.4,2014-03-20 13:59:12.0584,0.9,1.1,2014-03-20 14:01:58.0584,0,0.8
2014-03-20 13:57:39.0590,-0.9,2.1,2014-03-20 13:59:12.0590,0.8,1.2,2014-03-20 14:01:58.0590,0,0.7
2014-03-20 13:57:39.0596,-1.1,2.1,2014-03-20 13:59:12.0596,0.5,1.2,2014-03-20 14:01:58.0596,-0.1,0.6
2014-03-20 13:57:39.0602,-1,1.8,2014-03-20 13:59:12.0602,0.4,1.1,2014-03-20 14:01:58.0602,0,0.6
2014-03-20 13:57:39.0608,-1.1,1.8,2014-03-20 13:59:12.0608,0.4,1,2014-03-20 14:01:58.0608,-0.1,0.6
2014-03-20 13:57:39.0614,-1,1.8,2014-03-20 13:59:12.0614,0.5,0.9,2014-03-20 14:01:58.0614,-0.1,0.5
2014-03-20 13:57:39.0620,-1,1.8,2014-03-20 13:59:12.0620,0.6,1,2014-03-20 14:01:58.0620,0,0.4
2014-03-20 13:57:39.0626,-1,1.8,2014-03-20 13:59:12.0626,0.6,1.3,2014-03-20 14:01:58.0626,0,0.6
2014-03-20 13:57:39.0632,-0.7,1.9,2014-03-20 13:59:12.0632,0.7,1.4,2014-03-20 14:01:58.0632,0.3,0.6
2014-03-20 13:57:39.0637,-0.6,1.9,2014-03-20 13:59:12.0637,0.8,1.4,2014-03-20 14:01:58.0637,0.5,0.8
2014-03-20 13:57:39.0643,-0.7,1.7,2014-03-20 13:59:12.0643,0.8,1.3,2014-03-20 14:01:58.0643,0.6,1
2014-03-20 13:57:39.0649,-0.8,1.4,2014-03-20 13:59:12.0649,0.8,1,2014-03-20 14:01:58.0649,0.8,1.3
2014-03-20 13:57:39.0655,-1,1.1,2014-03-20 13:59:12.0655,0.8,0.8,2014-03-20 14:01:58.0655,0.8,1.4
2014-03-20 13:57:39.0661,-1.1,0.9,2014-03-20 13:59:12.0661,0.7,0.5,2014-03-20 14:01:58.0661,0.9,1.5
2014-03-20 13:57:39.0667,-1.2,0.5,2014-03-20 13:59:12.0667,0.7,0.5,2014-03-20 14:01:58.0667,1,1.3
2014-03-20 13:57:39.0673,-1.4,0.1,2014-03-20 13:59:12.0673,0.4,0.5,2014-03-20 14:01:58.0673,0.8,1.1
2014-03-20 13:57:39.0679,-1.8,0,2014-03-20 13:59:12.0679,0.1,0.3,2014-03-20 14:01:58.0679,0.6,0.8
2014-03-20 13:57:39.0685,-2,-0.1,2014-03-20 13:59:12.0685,0.1,0.2,2014-03-20 14:01:58.0685,0.5,0.7
2014-03-20 13:57:39.0691,-2.1,-0.1,2014-03-20 13:59:12.0691,0.2,0.1,2014-03-20 14:01:58.0691,0.4,0.5
2014-03-20 13:57:39.0697,-2.3,-0.2,2014-03-20 13:59:12.0697,0.3,0,2014-03-20 14:01:58.0697,0.3,0.4
2014-03-20 13:57:39.0702,-2.5,-0.2,2014-03-20 13:59:12.0702,0.5,0,2014-03-20 14:01:58.0702,0.4,0.3
2014-03-20 13:57:39.0708,-2.5,-0.3,2014-03-20 13:59:12.0708,0.5,0.1,2014-03-20 14:01:58.0708,0.5,0.3
2014-03-20 13:57:39.0714,-2.5,-0.2,2014-03-20 13:59:12.0714,0.5,0.2,2014-03-20 14:01:58.0714,0.7,0.4
2014-03-20 13:57:39.0720,-2.4,-0.1,2014-03-20 13:59:12.0720,0.5,0.2,2014-03-20 14:01:58.0720,0.7,0.3
2014-03-20 13:57:39.0726,-2.5,-0.2,2014-03-20 13:59:12.0726,0.3,0.1,2014-03-20 14:01:58.0726,0.7,0.5
2014-03-20 13:57:39.0732,-2.7,-0.3,2014-03-20 13:59:12.0732,0.1,0,2014-03-20 14:01:58.0732,0.7,0.4
2014-03-20 13:57:39.0738,-2.6,-0.3,2014-03-20 13:59:12.0738,0,-0.2,2014-03-20 14:01:58.0738,0.6,0.4
2014-03-20 13:57:39.0744,-2.5,-0.3,2014-03-20 13:59:12.0744,-0.1,-0.5,2014-03-20 14:01:58.0744,0.7,0.3
2014-03-20 13:57:39.0750,-2.4,-0.5,2014-03-20 13:59:12.0750,-0.2,-0.7,2014-03-20 14:01:58.0750,0.7,0.3
2014-03-20 13:57:39.0756,-2.5,-0.6,2014-03-20 13:59:12.0756,-0.4,-1,2014-03-20 14:01:58.0756,0.5,0.2
2014-03-20 13:57:39.0761,-2.8,-0.8,2014-03-20 13:59:12.0761,-0.7,-1,2014-03-20 14:01:58.0761,0.2,0.2
2014-03-20 13:57:39.0767,-2.9,-0.8,2014-03-20 13:59:12.0767,-1,-0.9,2014-03-20 14:01:58.0767,0.1,0.2
2014-03-20 13:57:39.0773,-2.9,-0.8,2014-03-20 13:59:12.0773,-0.9,-0.9,2014-03-20 14:01:58.0773,0.1,0.1
2014-03-20 13:57:39.0779,-3,-0.8,2014-03-20 13:59:12.0779,-0.9,-0.8,2014-03-20 14:01:58.0779,0.1,0.1
2014-03-20 13:57:39.0785,-3,-0.7,2014-03-20 13:59:12.0785,-0.8,-0.9,2014-03-20 14:01:58.0785,0,0
2014-03-20 13:57:39.0791,-2.7,-0.6,2014-03-20 13:59:12.0791,-0.9,-1,2014-03-20 14:01:58.0791,0,0
2014-03-20 13:57:39.0797,-2.5,-0.5,2014-03-20 13:59:12.0797,-0.8,-0.9,2014-03-20 14:01:58.0797,0,0
2014-03-20 13:57:39.0803,-2.3,-0.5,2014-03-20 13:59:12.0803,-0.9,-0.9,2014-03-20 14:01:58.0803,-0.1,-0.2
2014-03-20 13:57:39.0809,-2.1,-0.5,2014-03-20 13:59:12.0809,-0.9,-1,2014-03-20 14:01:58.0809,-0.1,-0.4
2014-03-20 13:57:39.0815,-2.1,-0.6,2014-03-20 13:59:12.0815,-1,-1,2014-03-20 14:01:58.0815,-0.3,-0.5
2014-03-20 13:57:39.0820,-2.2,-0.6,2014-03-20 13:59:12.0820,-0.8,-0.9,2014-03-20 14:01:58.0820,-0.3,-0.5
2014-03-20 13:57:39.0826,-2.3,-0.7,2014-03-20 13:59:12.0826,-0.8,-0.8,2014-03-20 14:01:58.0826,-0.2,-0.5
2014-03-20 13:57:39.0832,-2.3,-0.8,2014-03-20 13:59:12.0832,-0.7,-0.8,2014-03-20 14:01:58.0832,-0.1,-0.3
2014-03-20 13:57:39.0838,-2.4,-1.1,2014-03-20 13:59:12.0838,-0.7,-1,2014-03-20 14:01:58.0838,-0.1,-0.3
2014-03-20 13:57:39.0844,-2.7,-1.6,2014-03-20 13:59:12.0844,-1,-1.1,2014-03-20 14:01:58.0844,-0.3,-0.2
2014-03-20 13:57:39.0850,-3,-2,2014-03-20 13:59:12.0850,-1.1,-1,2014-03-20 14:01:58.0850,-0.4,-0.1
2014-03-20 13:57:39.0856,-3.1,-2.2,2014-03-20 13:59:12.0856,-1.3,-0.9,2014-03-20 14:01:58.0856,-0.4,0
2014-03-20 13:57:39.0862,-3.1,-2.3,2014-03-20 13:59:12.0862,-1.4,-0.8,2014-03-20 14:01:58.0862,-0.4,0.1
2014-03-20 13:57:39.0868,-3.1,-2.3,2014-03-20 13:59:12.0868,-1.4,-0.8,2014-03-20 14:01:58.0868,-0.3,0
2014-03-20 13:57:39.0874,-3.2,-2.4,2014-03-20 13:59:12.0874,-1.4,-0.9,2014-03-20 14:01:58.0874,-0.3,-0.1
2014-03-20 13:57:39.0880,-3.3,-2.3,2014-03-20 13:59:12.0880,-1.5,-0.9,2014-03-20 14:01:58.0880,-0.2,0
2014-03-20 13:57:39.0885,-3.4,-2.3,2014-03-20 13:59:12.0885,-1.5,-1.1,2014-03-20 14:01:58.0885,-0.2,-0.3
2014-03-20 13:57:39.0891,-3.6,-2.3,2014-03-20 13:59:12.0891,-1.5,-1,2014-03-20 14:01:58.0891,-0.1,-0.3
2014-03-20 13:57:39.0897,-3.8,-2.3,2014-03-20 13:59:12.0897,-1.5,-1,2014-03-20 14:01:58.0897,-0.2,-0.5
2014-03-20 13:57:39.0903,-3.9,-2.4,2014-03-20 13:59:12.0903,-1.3,-0.9,2014-03-20 14:01:58.0903,-0.2,-0.5
