TIME_1,RE_1,LE_1,TIME_2,RE_2,LE_2,TIME_3,RE_3,LE_3
2007-05-17 11:50:19.0000,0,0,2007-05-17 11:52:30.0000,0,0,2007-05-17 11:55:00.0000,0,0
2007-05-17 11:50:19.0006,0,-0.2,2007-05-17 11:52:30.0006,0,-0.5,2007-05-17 11:55:00.0006,0,-0.4
2007-05-17 11:50:19.0012,-0.2,-0.4,2007-05-17 11:52:30.0012,0.1,-0.5,2007-05-17 11:55:00.0012,-0.3,-0.5
2007-05-17 11:50:19.0018,-0.2,-0.5,2007-05-17 11:52:30.0018,0.3,-0.4,2007-05-17 11:55:00.0018,-0.3,-0.4
2007-05-17 11:50:19.0024,-0.3,-0.5,2007-05-17 11:52:30.0024,0.4,-0.2,2007-05-17 11:55:00.0024,-0.2,-0.2
2007-05-17 11:50:19.0030,-0.3,-0.5,2007-05-17 11:52:30.0030,0.7,-0.1,2007-05-17 11:55:00.0030,-0.1,0
2007-05-17 11:50:19.0035,-0.2,-0.4,2007-05-17 11:52:30.0035,0.7,0,2007-05-17 11:55:00.0035,0,0.3
2007-05-17 11:50:19.0041,-0.3,-0.5,2007-05-17 11:52:30.0041,0.8,0,2007-05-17 11:55:00.0041,0.1,0.5
2007-05-17 11:50:19.0047,-0.3,-0.3,2007-05-17 11:52:30.0047,0.8,0,2007-05-17 11:55:00.0047,0.1,0.7
2007-05-17 11:50:19.0053,-0.4,-0.3,2007-05-17 11:52:30.0053,0.8,-0.1,2007-05-17 11:55:00.0053,0.3,0.8
2007-05-17 11:50:19.0059,-0.5,-0.2,2007-05-17 11:52:30.0059,0.6,-0.1,2007-05-17 11:55:00.0059,0.3,0.8
2007-05-17 11:50:19.0065,-0.6,-0.1,2007-05-17 11:52:30.0065,0.5,-0.3,2007-05-17 11:55:00.0065,0.3,0.7
2007-05-17 11:50:19.0071,-0.8,-0.1,2007-05-17 11:52:30.0071,0.5,-0.5,2007-05-17 11:55:00.0071,0.3,0.6
2007-05-17 11:50:19.0077,-1.1,-0.2,2007-05-17 11:52:30.0077,0.4,-0.6,2007-05-17 11:55:00.0077,0.2,0.4
2007-05-17 11:50:19.0083,-1.3,-0.1,2007-05-17 11:52:30.0083,0.3,-0.8,2007-05-17 11:55:00.0083,0.2,0.3
2007-05-17 11:50:19.0089,-1.5,-0.5,2007-05-17 11:52:30.0089,0,-1.2,2007-05-17 11:55:00.0089,0,-0.1
2007-05-17 11:50:19.0094,-1.9,-0.7,2007-05-17 11:52:30.0094,-0.5,-1.4,2007-05-17 11:55:00.0094,-0.3,-0.4
2007-05-17 11:50:19.0100,-2.1,-0.8,2007-05-17 11:52:30.0100,-0.8,-1.4,2007-05-17 11:55:00.0100,-0.4,-0.5
2007-05-17 11:50:19.0106,-2.2,-0.7,2007-05-17 11:52:30.0106,-1.1,-1.3,2007-05-17 11:55:00.0106,-0.5,-0.6
2007-05-17 11:50:19.0112,-2.1,-0.6,2007-05-17 11:52:30.0112,-1.2,-1.1,2007-05-17 11:55:00.0112,-0.6,-0.5
2007-05-17 11:50:19.0118,-2.1,-0.5,2007-05-17 11:52:30.0118,-1.2,-0.9,2007-05-17 11:55:00.0118,-0.8,-0.4
2007-05-17 11:50:19.0124,-2.1,-0.4,2007-05-17 11:52:30.0124,-1.2,-0.6,2007-05-17 11:55:00.0124,-0.9,-0.5
2007-05-17 11:50:19.0130,-2.1,-0.3,2007-05-17 11:52:30.0130,-1.2,-0.6,2007-05-17 11:55:00.0130,-1.1,-0.5
2007-05-17 11:50:19.0136,-1.9,-0.2,2007-05-17 11:52:30.0136,-1.1,-0.6,2007-05-17 11:55:00.0136,-1.3,-0.5
2007-05-17 11:50:19.0142,-1.8,-0.2,2007-05-17 11:52:30.0142,-1.1,-0.5,2007-05-17 11:55:00.0142,-1.5,-0.5
2007-05-17 11:50:19.0148,-1.6,-0.1,2007-05-17 11:52:30.0148,-1,-0.5,2007-05-17 11:55:00.0148,-1.8,-0.4
2007-05-17 11:50:19.0153,-1.4,0,2007-05-17 11:52:30.0153,-1.1,-0.4,2007-05-17 11:55:00.0153,-1.9,-0.3
2007-05-17 11:50:19.0159,-1.2,0.2,2007-05-17 11:52:30.0159,-1.1,-0.4,2007-05-17 11:55:00.0159,-2,-0.1
2007-05-17 11:50:19.0165,-1.1,0.3,2007-05-17 11:52:30.0165,-1.1,-0.4,2007-05-17 11:55:00.0165,-2,0
2007-05-17 11:50:19.0171,-1,0.3,2007-05-17 11:52:30.0171,-1.3,-0.6,2007-05-17 11:55:00.0171,-2,0
2007-05-17 11:50:19.0177,-1,0.4,2007-05-17 11:52:30.0177,-1.7,-0.9,2007-05-17 11:55:00.0177,-2.1,0
2007-05-17 11:50:19.0183,-1,0.5,2007-05-17 11:52:30.0183,-1.7,-0.9,2007-05-17 11:55:00.0183,-2.2,-0.1
2007-05-17 11:50:19.0189,-0.8,0.7,2007-05-17 11:52:30.0189,-1.7,-0.8,2007-05-17 11:55:00.0189,-2.3,0
2007-05-17 11:50:19.0195,-0.6,0.8,2007-05-17 11:52:30.0195,-1.6,-0.7,2007-05-17 11:55:00.0195,-2.2,0.2
2007-05-17 11:50:19.0201,-0.5,0.9,2007-05-17 11:52:30.0201,-1.5,-0.4,2007-05-17 11:55:00.0201,-2.2,0.3
2007-05-17 11:50:19.0207,-0.4,1,2007-05-17 11:52:30.0207,-1.2,-0.2,2007-05-17 11:55:00.0207,-2.1,0.5
2007-05-17 11:50:19.0212,-0.4,0.9,2007-05-17 11:52:30.0212,-1.1,0,2007-05-17 11:55:00.0212,-2.1,0.5
2007-05-17 11:50:19.0218,-0.6,0.9,2007-05-17 11:52:30.0218,-0.9,0,2007-05-17 11:55:00.0218,-2,0.6
2007-05-17 11:50:19.0224,-0.8,0.8,2007-05-17 11:52:30.0224,-0.9,0.1,2007-05-17 11:55:00.0224,-2,0.6
2007-05-17 11:50:19.0230,-1,0.8,2007-05-17 11:52:30.0230,-0.8,0.1,2007-05-17 11:55:00.0230,-1.9,0.7
2007-05-17 11:50:19.0236,-1,0.9,2007-05-17 11:52:30.0236,-0.7,0.1,2007-05-17 11:55:00.0236,-1.7,0.7
2007-05-17 11:50:19.0242,-1.3,0.9,2007-05-17 11:52:30.0242,-0.6,0,2007-05-17 11:55:00.0242,-1.7,0.7
2007-05-17 11:50:19.0248,-1.4,0.9,2007-05-17 11:52:30.0248,-0.5,0,2007-05-17 11:55:00.0248,-1.7,0.7
2007-05-17 11:50:19.0254,-1.5,0.7,2007-05-17 11:52:30.0254,-0.5,-0.1,2007-05-17 11:55:00.0254,-1.8,0.3
2007-05-17 11:50:19.0260,-1.8,0.5,2007-05-17 11:52:30.0260,-0.8,-0.4,2007-05-17 11:55:00.0260,-2.1,0.1
2007-05-17 11:50:19.0266,-2,0.3,2007-05-17 11:52:30.0266,-0.9,-0.5,2007-05-17 11:55:00.0266,-2.1,-0.1
2007-05-17 11:50:19.0272,-2.1,0.1,2007-05-17 11:52:30.0272,-1,-0.6,2007-05-17 11:55:00.0272,-2.2,-0.2
2007-05-17 11:50:19.0277,-2.2,0,2007-05-17 11:52:30.0277,-1.1,-0.6,2007-05-17 11:55:00.0277,-2.2,-0.2
